datetime,wd (deg)
2016-12-31 00:10:00,208.52066
2016-12-31 00:20:00,207.75484
2016-12-31 00:30:00,207.78493
2016-12-31 00:40:00,211.22127
2016-12-31 00:50:00,210.09372
2016-12-31 01:00:00,205.72417
2016-12-31 01:10:00,203.55351
2016-12-31 01:20:00,201.70183
2016-12-31 01:30:00,199.8036
2016-12-31 01:40:00,202.50163
2016-12-31 01:50:00,199.86972
2016-12-31 02:00:00,197.46146
2016-12-31 02:10:00,199.13586
2016-12-31 02:20:00,198.16837
2016-12-31 02:30:00,197.80487
2016-12-31 02:40:00,201.38368
2016-12-31 02:50:00,194.16133
2016-12-31 03:00:00,195.28128
2016-12-31 03:10:00,194.6181
2016-12-31 03:20:00,194.50552
2016-12-31 03:30:00,194.3471
2016-12-31 03:40:00,195.15355
2016-12-31 03:50:00,193.3233
2016-12-31 04:00:00,189.92296
2016-12-31 04:10:00,190.9307
2016-12-31 04:20:00,190.20988
2016-12-31 04:30:00,190.61569
2016-12-31 04:40:00,191.97098
2016-12-31 04:50:00,190.20883
2016-12-31 05:00:00,191.34052
2016-12-31 05:10:00,191.52348
2016-12-31 05:20:00,191.2886
2016-12-31 05:30:00,190.37265
2016-12-31 05:40:00,189.97742
2016-12-31 05:50:00,188.93506
2016-12-31 06:00:00,187.3549
2016-12-31 06:10:00,185.16351
2016-12-31 06:20:00,185.59628
2016-12-31 06:30:00,188.39386
2016-12-31 06:40:00,188.01553
2016-12-31 06:50:00,184.13823
2016-12-31 07:00:00,185.14
2016-12-31 07:10:00,184.01189
2016-12-31 07:20:00,183.60426
2016-12-31 07:30:00,183.49364
2016-12-31 07:40:00,184.28485
2016-12-31 07:50:00,184.36356
2016-12-31 08:00:00,183.15704
2016-12-31 08:10:00,182.1019
2016-12-31 08:20:00,183.06395
2016-12-31 08:30:00,181.95282
2016-12-31 08:40:00,182.40268
2016-12-31 08:50:00,182.40453
2016-12-31 09:00:00,180.38927
2016-12-31 09:10:00,180.76015
2016-12-31 09:20:00,182.2732
2016-12-31 09:30:00,182.05678
2016-12-31 09:40:00,181.21164
2016-12-31 09:50:00,180.37666
2016-12-31 10:00:00,180.26663
2016-12-31 10:10:00,179.27423
2016-12-31 10:20:00,178.1825
2016-12-31 10:30:00,178.10553
2016-12-31 10:40:00,178.63623
2016-12-31 10:50:00,177.71545
2016-12-31 11:00:00,177.43988
2016-12-31 11:10:00,180.17957
2016-12-31 11:20:00,180.5688
2016-12-31 11:30:00,179.01855
2016-12-31 11:40:00,177.52136
2016-12-31 11:50:00,180.13954
2016-12-31 12:00:00,176.9646
2016-12-31 12:10:00,177.224
2016-12-31 12:20:00,176.19324
2016-12-31 12:30:00,178.91858
2016-12-31 12:40:00,177.9325
2016-12-31 12:50:00,177.63531
2016-12-31 13:00:00,177.41534
2016-12-31 13:10:00,180.02806
2016-12-31 13:20:00,177.18225
2016-12-31 13:30:00,176.21301
2016-12-31 13:40:00,176.67688
2016-12-31 13:50:00,177.94165
2016-12-31 14:00:00,178.74457
2016-12-31 14:10:00,180.91214
2016-12-31 14:20:00,178.3772
2016-12-31 14:30:00,180.34499
2016-12-31 14:40:00,181.17949
2016-12-31 14:50:00,181.11789
2016-12-31 15:00:00,180.56871
2016-12-31 15:10:00,182.71257
2016-12-31 15:20:00,185.0841
2016-12-31 15:30:00,182.53186
2016-12-31 15:40:00,186.69662
2016-12-31 15:50:00,186.67188
2016-12-31 16:00:00,186.43047
2016-12-31 16:10:00,191.41331
2016-12-31 16:20:00,192.73473
2016-12-31 16:30:00,191.84558
2016-12-31 16:40:00,194.85925
2016-12-31 16:50:00,194.77097
2016-12-31 17:00:00,196.38235
2016-12-31 17:10:00,201.19603
2016-12-31 17:20:00,197.85059
2016-12-31 17:30:00,197.64236
2016-12-31 17:40:00,197.96605
2016-12-31 17:50:00,199.90552
2016-12-31 18:00:00,197.52249
2016-12-31 18:10:00,199.77202
2016-12-31 18:20:00,204.61311
2016-12-31 18:30:00,203.14322
2016-12-31 18:40:00,206.93867
2016-12-31 18:50:00,203.98929
2016-12-31 19:00:00,201.8981
2016-12-31 19:10:00,204.8657
2016-12-31 19:20:00,204.7929
2016-12-31 19:30:00,205.74545
2016-12-31 19:40:00,205.90468
2016-12-31 19:50:00,206.81523
2016-12-31 20:00:00,206.46722
2016-12-31 20:10:00,206.08789
2016-12-31 20:20:00,206.77435
2016-12-31 20:30:00,204.42148
2016-12-31 20:40:00,205.54858
2016-12-31 20:50:00,203.92061
2016-12-31 21:00:00,204.25188
2016-12-31 21:10:00,206.04396
2016-12-31 21:20:00,205.3242
2016-12-31 21:30:00,207.68929
2016-12-31 21:40:00,209.56956
2016-12-31 21:50:00,207.76137
2016-12-31 22:00:00,204.99947
2016-12-31 22:10:00,205.21231
2016-12-31 22:20:00,207.02171
2016-12-31 22:30:00,205.85384
2016-12-31 22:40:00,206.48695
2016-12-31 22:50:00,205.88599
2016-12-31 23:00:00,205.39935
2016-12-31 23:10:00,204.32227
2016-12-31 23:20:00,205.48688
2016-12-31 23:30:00,204.17007
2016-12-31 23:40:00,203.93582
2016-12-31 23:50:00,203.63634
2017-01-01 00:00:00,201.0088
