,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1,0.5974879741668702,0.08453659227895252,0.0044842720031738285,0.0028981274790159783,0.1,6.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",1.0,1.0,0.9583333333333334,0.9166666666666666,0.875,0.95,0.04859126579037751,1
3,0.13312458992004395,0.016133437503141054,0.0010023117065429688,0.00089743447694044,0.1,10.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}",1.0,1.0,0.9583333333333334,0.9166666666666666,0.875,0.95,0.04859126579037751,1
5,0.14209189414978027,0.004374504841982617,0.0016765594482421875,0.0005737431425231818,0.1,12.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500}",1.0,1.0,0.9583333333333334,0.9166666666666666,0.875,0.95,0.04859126579037751,1
0,0.49941263198852537,0.053415687883806996,0.0011048316955566406,0.0006625892958057822,0.1,6.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9166666666666666,1.0,0.9583333333333334,0.9166666666666666,0.875,0.9333333333333332,0.042491829279939886,4
24,0.039080810546875,0.0018263880698838495,0.001396322250366211,0.0004886944566570864,0.01,10.0,,,"{'learning_rate': 0.01, 'max_depth': 10}",0.9166666666666666,1.0,0.9583333333333334,0.9166666666666666,0.875,0.9333333333333332,0.042491829279939886,4
25,0.037485504150390626,0.0025270539100515645,0.0024038314819335937,0.002860859669953487,0.01,12.0,,,"{'learning_rate': 0.01, 'max_depth': 12}",0.9166666666666666,1.0,0.9583333333333334,0.9166666666666666,0.875,0.9333333333333332,0.042491829279939886,4
26,0.03827972412109375,0.003196656594566542,0.0009972572326660157,0.000891963326419878,0.001,6.0,,,"{'learning_rate': 0.001, 'max_depth': 6}",0.9166666666666666,1.0,0.9583333333333334,0.9166666666666666,0.875,0.9333333333333332,0.042491829279939886,4
27,0.04236083030700684,0.008628379373524961,0.0012196540832519532,0.0007415791137938103,0.001,8.0,,,"{'learning_rate': 0.001, 'max_depth': 8}",0.9166666666666666,1.0,0.9583333333333334,0.9166666666666666,0.875,0.9333333333333332,0.042491829279939886,4
28,0.04039697647094727,0.006921339155433499,0.0017508983612060547,0.0009579917382995308,0.001,10.0,,,"{'learning_rate': 0.001, 'max_depth': 10}",0.9166666666666666,1.0,0.9583333333333334,0.9166666666666666,0.875,0.9333333333333332,0.042491829279939886,4
29,0.03539590835571289,0.00225211807405089,0.0012889385223388671,0.0007301078628111707,0.001,12.0,,,"{'learning_rate': 0.001, 'max_depth': 12}",0.9166666666666666,1.0,0.9583333333333334,0.9166666666666666,0.875,0.9333333333333332,0.042491829279939886,4
