,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_child_weight,param_learning_rate,param_n_estimators,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3,0.19750795364379883,0.010316190775979603,0.0017952919006347656,0.0014658497529253917,,0.1,,6.0,"{'max_depth': 6, 'learning_rate': 0.1}",0.967032967032967,0.967032967032967,1.0,0.9560439560439561,0.9560439560439561,0.9692307692307693,0.01615048182054841,1
4,0.19728784561157225,0.006499497408591435,0.005224370956420898,0.0033214782126205615,,0.1,100.0,12.0,"{'n_estimators': 100, 'max_depth': 12, 'learning_rate': 0.1}",0.967032967032967,0.967032967032967,1.0,0.9560439560439561,0.9560439560439561,0.9692307692307693,0.01615048182054841,1
9,1.1439685821533203,0.03823911734002318,0.006223201751708984,0.003513330010839463,,0.01,500.0,12.0,"{'n_estimators': 500, 'max_depth': 12, 'learning_rate': 0.01}",0.9560439560439561,0.967032967032967,0.989010989010989,0.9560439560439561,0.9560439560439561,0.964835164835165,0.012815278889769889,3
10,0.6891481399536132,0.021348925883339434,0.0020101070404052734,0.004020214080810547,,0.1,500.0,6.0,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.1}",0.967032967032967,0.967032967032967,0.989010989010989,0.9560439560439561,0.945054945054945,0.964835164835165,0.014578570507056717,3
0,0.20206403732299805,0.05512786711533559,0.004647684097290039,0.0040695845913471165,2.0,0.1,,,"{'min_child_weight': 2, 'learning_rate': 0.1}",0.967032967032967,0.967032967032967,0.967032967032967,0.9560439560439561,0.945054945054945,0.9604395604395604,0.008791208791208798,5
1,0.20923137664794922,0.01005353268980736,0.00440511703491211,0.003888690237164187,2.0,0.01,,,"{'min_child_weight': 2, 'learning_rate': 0.01}",0.9560439560439561,0.967032967032967,0.9560439560439561,0.945054945054945,0.9230769230769231,0.9494505494505494,0.01490621974313245,6
7,0.12224698066711426,0.0042506325919031375,0.002007913589477539,0.003103347460748498,10.0,0.1,,,"{'min_child_weight': 10, 'learning_rate': 0.1}",0.978021978021978,0.945054945054945,0.9560439560439561,0.9230769230769231,0.945054945054945,0.9494505494505494,0.017855029460738355,6
2,0.25276598930358884,0.014143417294392169,0.0016653060913085938,0.0015542199363943329,,0.01,100.0,12.0,"{'n_estimators': 100, 'max_depth': 12, 'learning_rate': 0.01}",0.967032967032967,0.9560439560439561,0.945054945054945,0.9010989010989011,0.9340659340659341,0.9406593406593406,0.02262775855161978,8
5,0.23777179718017577,0.011565020593036403,0.0051899909973144535,0.004102829637491874,,0.01,100.0,6.0,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.01}",0.967032967032967,0.9560439560439561,0.945054945054945,0.9010989010989011,0.9340659340659341,0.9406593406593406,0.02262775855161978,8
6,1.1959330081939696,0.06882498872937194,0.0045776844024658205,0.004335778629651503,,0.001,500.0,12.0,"{'n_estimators': 500, 'max_depth': 12, 'learning_rate': 0.001}",0.9560439560439561,0.9560439560439561,0.9340659340659341,0.9230769230769231,0.9120879120879121,0.9362637362637363,0.0175824175824176,10
8,0.26969175338745116,0.016096296825563034,0.0004024505615234375,0.000804901123046875,,0.001,100.0,10.0,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.001}",0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.6263736263736264,0.0,11
