,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
55,1,60,0.18302054405212403,0.007519248107185292,0.0048139095306396484,0.003930549888792612,0.1,10.0,,,"{'learning_rate': 0.1, 'max_depth': 10}",1.0,0.9166666666666666,1.0,0.8333333333333334,1.0,0.95,0.06666666666666667,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
54,1,60,1.019665813446045,0.021560802484613076,0.006487607955932617,0.00444188035592899,0.01,10.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500}",1.0,0.9166666666666666,1.0,0.8333333333333334,1.0,0.95,0.06666666666666667,1,1.0,0.9791666666666666,1.0,1.0,0.9791666666666666,0.9916666666666666,0.010206207261596593
53,1,60,0.1858142852783203,0.005085273341015879,0.0024081707000732423,0.0029461192617176416,0.1,8.0,,,"{'learning_rate': 0.1, 'max_depth': 8}",1.0,0.9166666666666666,1.0,0.8333333333333334,1.0,0.95,0.06666666666666667,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
52,1,60,0.1825993537902832,0.003086169346315012,0.0008043766021728516,0.000985156121063588,0.1,6.0,,,"{'learning_rate': 0.1, 'max_depth': 6}",1.0,0.9166666666666666,1.0,0.8333333333333334,1.0,0.95,0.06666666666666667,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
42,1,60,0.6305031299591064,0.013798659321276288,0.009221839904785156,0.0009804851453070666,0.1,12.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500}",1.0,0.9166666666666666,1.0,0.8333333333333334,1.0,0.95,0.06666666666666667,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
43,1,60,0.2347116470336914,0.004588132884835301,0.005613136291503906,0.0038856552136589157,0.01,6.0,100.0,,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",1.0,0.9166666666666666,1.0,0.8333333333333334,1.0,0.95,0.06666666666666667,1,0.9791666666666666,0.9583333333333334,0.9583333333333334,0.9791666666666666,0.9791666666666666,0.9708333333333334,0.010206207261596538
48,1,60,1.0176669120788575,0.023945855006433515,0.008518791198730469,0.0032568859993200075,0.01,12.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 500}",1.0,0.9166666666666666,1.0,0.8333333333333334,1.0,0.95,0.06666666666666667,1,1.0,0.9791666666666666,1.0,1.0,0.9791666666666666,0.9916666666666666,0.010206207261596593
47,1,60,0.2363945484161377,0.004642697247130554,0.0064198970794677734,0.0036713270476035446,0.01,12.0,100.0,,"{'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 100}",1.0,0.9166666666666666,1.0,0.8333333333333334,1.0,0.95,0.06666666666666667,1,0.9791666666666666,0.9583333333333334,0.9583333333333334,0.9791666666666666,0.9791666666666666,0.9708333333333334,0.010206207261596538
46,1,60,0.2372208595275879,0.003621201321677164,0.0004057884216308594,0.0008115768432617188,0.01,10.0,100.0,,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",1.0,0.9166666666666666,1.0,0.8333333333333334,1.0,0.95,0.06666666666666667,1,0.9791666666666666,0.9583333333333334,0.9583333333333334,0.9791666666666666,0.9791666666666666,0.9708333333333334,0.010206207261596538
45,1,60,0.23976240158081055,0.007705249624278497,0.001602315902709961,0.003204631805419922,0.01,6.0,,,"{'learning_rate': 0.01, 'max_depth': 6}",1.0,0.9166666666666666,1.0,0.8333333333333334,1.0,0.95,0.06666666666666667,1,0.9791666666666666,0.9583333333333334,0.9583333333333334,0.9791666666666666,0.9791666666666666,0.9708333333333334,0.010206207261596538
44,1,60,1.0196164131164551,0.022316685694627088,0.006122398376464844,0.004308114056756231,0.01,6.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",1.0,0.9166666666666666,1.0,0.8333333333333334,1.0,0.95,0.06666666666666667,1,1.0,0.9791666666666666,1.0,1.0,0.9791666666666666,0.9916666666666666,0.010206207261596593
