,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
45,1,90,0.5550742626190186,0.006527048344065342,0.003455448150634766,0.002503653710039146,0.1,12.0,,,"{'learning_rate': 0.1, 'max_depth': 12}",1.0,1.0,0.9411764705882353,1.0,1.0,0.9882352941176471,0.02352941176470589,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
54,1,90,0.5742806434631348,0.01759878565982391,0.0100982666015625,0.0013670170739774235,0.1,10.0,,,"{'learning_rate': 0.1, 'max_depth': 10}",1.0,1.0,0.9411764705882353,1.0,1.0,0.9882352941176471,0.02352941176470589,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
52,1,90,2.004712963104248,0.013663387513420472,0.011798810958862305,0.0017611421283404158,0.1,6.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",1.0,1.0,0.9411764705882353,1.0,1.0,0.9882352941176471,0.02352941176470589,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
51,1,90,0.5695779323577881,0.03409707837856699,0.004015588760375976,0.004918083890294569,0.1,10.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}",1.0,1.0,0.9411764705882353,1.0,1.0,0.9882352941176471,0.02352941176470589,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
50,1,90,1.9861158847808837,0.03978689608629044,0.017338371276855467,0.00439987138743123,0.1,10.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}",1.0,1.0,0.9411764705882353,1.0,1.0,0.9882352941176471,0.02352941176470589,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
49,1,90,0.4923203945159912,0.007669830761311066,0.00764923095703125,0.003906934181032069,0.1,12.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 100}",1.0,1.0,0.9411764705882353,1.0,1.0,0.9882352941176471,0.02352941176470589,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
48,1,90,1.2970189571380615,0.20387060469959872,0.006843042373657226,0.003233737968422414,0.1,12.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500}",1.0,1.0,0.9411764705882353,1.0,1.0,0.9882352941176471,0.02352941176470589,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
47,1,90,0.5232668876647949,0.038274178031257135,0.0038083553314208984,0.004284525484640334,0.1,6.0,,,"{'learning_rate': 0.1, 'max_depth': 6}",1.0,1.0,0.9411764705882353,1.0,1.0,0.9882352941176471,0.02352941176470589,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
46,1,90,0.5537437915802002,0.04356855187522161,0.005280542373657227,0.0015758894810371006,0.1,8.0,,,"{'learning_rate': 0.1, 'max_depth': 8}",1.0,1.0,0.9411764705882353,1.0,1.0,0.9882352941176471,0.02352941176470589,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
44,1,90,0.5216917991638184,0.015675564361837785,0.003461122512817383,0.0036026308263577356,0.1,6.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",1.0,1.0,0.9411764705882353,1.0,1.0,0.9882352941176471,0.02352941176470589,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
42,1,90,0.6625484943389892,0.051996466826492574,0.006506729125976563,0.0037499921139935543,0.01,,,3.0,"{'learning_rate': 0.01, 'min_child_weight': 3}",1.0,0.9444444444444444,0.9411764705882353,1.0,1.0,0.977124183006536,0.028036092273891793,11,1.0,1.0,1.0,1.0,0.9861111111111112,0.9972222222222221,0.005555555555555536
55,1,90,0.48398575782775877,0.007318756253260795,0.006459474563598633,0.00442677820156924,0.1,,,3.0,"{'learning_rate': 0.1, 'min_child_weight': 3}",0.9444444444444444,1.0,0.9411764705882353,1.0,1.0,0.977124183006536,0.028036092273891793,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
53,1,90,0.5196078777313232,0.018911515601499007,0.003714323043823242,0.003159306839319138,0.1,,,2.0,"{'learning_rate': 0.1, 'min_child_weight': 2}",1.0,0.9444444444444444,0.9411764705882353,1.0,1.0,0.977124183006536,0.028036092273891793,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
31,0,30,0.36899099349975584,0.013878645683630522,0.009229660034179688,0.0009902976212197647,0.1,,,3.0,"{'learning_rate': 0.1, 'min_child_weight': 3}",0.8333333333333334,1.0,1.0,1.0,1.0,0.9666666666666668,0.06666666666666667,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
43,1,90,0.5677428722381592,0.02343806508208521,0.004814291000366211,0.004317432639674864,0.001,,,3.0,"{'learning_rate': 0.001, 'min_child_weight': 3}",1.0,0.7777777777777778,1.0,1.0,1.0,0.9555555555555555,0.08888888888888889,15,0.9859154929577465,0.9859154929577465,1.0,0.9861111111111112,0.9861111111111112,0.9888106416275431,0.005595363123980713
20,0,30,0.4637928485870361,0.02881514442403459,0.007510662078857422,0.002860560936181163,0.1,10.0,,,"{'learning_rate': 0.1, 'max_depth': 10}",0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.9333333333333333,0.08164965809277258,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
