,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
62,3,464805,66.90266771316529,0.490631689992854,0.48558874130249025,0.013482056648750677,0.1,12.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500}",0.9672981142629705,0.9684491345833199,0.9670829702778585,0.968201719000441,0.9672870051635112,0.9676637886576203,0.0005512115440273275,1,0.9994648278977956,0.9995777787937382,0.9995616429514607,0.9994621385907493,0.9995266832327535,0.9995186142932996,4.7957257300792206e-05
61,3,464805,49.95578618049622,0.6515425950964426,0.3955195903778076,0.009367048755489805,0.1,10.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}",0.9589720420391347,0.9602198771527845,0.9589290132421123,0.960155333957251,0.9600258175559381,0.959660416789444,0.0005831410750764057,2,0.9903480770109966,0.9909693069386811,0.9905336391971881,0.991265130713769,0.99119523240929,0.990862277253985,0.00036249420993302646
60,2,154935,37.10325288772583,0.32938407496429234,0.23005781173706055,0.005766670258494254,0.1,12.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500}",0.9460741601316681,0.945590086165166,0.9448155678187627,0.944428308645561,0.9422965210094881,0.9446409287541291,0.0013059100856555868,3,0.9999838640709335,0.9999757961064003,0.9999838640709335,0.9999677281418671,0.9999677284022332,0.9999757961584734,7.2161486354157294e-06
59,2,154935,28.465457725524903,0.5023872832812605,0.1770312786102295,0.008131151221605185,0.1,10.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}",0.94029754413141,0.9391680382095717,0.9379417174944331,0.9380062606899667,0.9338733621635578,0.9378573845377879,0.0021713545230724876,4,0.9971842803779034,0.9970309890517721,0.9965469111797784,0.9964500956053797,0.99573208119534,0.9965888714820347,0.0005108989538120792
58,2,154935,8.44381604194641,0.03735822937645424,0.06899867057800294,0.002304817279777323,0.1,12.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 100}",0.9156420434375706,0.9148352534934004,0.9100590570239132,0.9120276244876884,0.9099593364745369,0.9125046629834219,0.0023648276686348813,5,0.9625323727076895,0.9611930905951738,0.9597650608727925,0.9584015748666769,0.9602978668473876,0.9604379931779441,0.0013839126083983813
57,2,154935,8.449777793884277,0.06473130850958651,0.06982402801513672,0.0035621876869294297,0.1,12.0,,,"{'learning_rate': 0.1, 'max_depth': 12}",0.9156420434375706,0.9148352534934004,0.9100590570239132,0.9120276244876884,0.9099593364745369,0.9125046629834219,0.0023648276686348813,5,0.9625323727076895,0.9611930905951738,0.9597650608727925,0.9584015748666769,0.9602978668473876,0.9604379931779441,0.0013839126083983813
55,1,51645,25.298378133773802,0.14116705891633144,0.1043668270111084,0.009059437737660884,0.1,12.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500}",0.9072514280182011,0.9050246877722916,0.8967954303417562,0.9058960209119954,0.9027885360185902,0.903551220612567,0.003676496123560229,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
54,1,51645,20.260565185546874,0.13787855377691968,0.08319802284240722,0.0024460270364941943,0.1,10.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}",0.9024106883531804,0.9029915771129828,0.8899215800174267,0.8997966889340692,0.8989155693261038,0.8988072207487526,0.004699770523529844,8,1.0,0.9999031828633668,0.9998547742950502,0.9997821614425754,0.9999515926033498,0.9998983422408685,7.561676602057166e-05
56,2,154935,51.32024621963501,0.5314277194548432,0.34351696968078616,0.017504077911124016,0.01,12.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 500}",0.9006034788782392,0.8984090102300964,0.8947300480846807,0.8961822699841869,0.8972116439682437,0.8974272902290895,0.0019961784690239277,9,0.942297917658354,0.9399178681210517,0.9396032175042559,0.9387480132637337,0.9420805499080259,0.9405295132910843,0.0014098825936540089
52,1,51645,6.067699670791626,0.053719548421517736,0.030179738998413086,0.00040526016694590947,0.1,12.0,,,"{'learning_rate': 0.1, 'max_depth': 12}",0.8800464711007842,0.8850808403524059,0.8740439539161584,0.8801432858940846,0.8838109992254066,0.8806251100977679,0.00384400874022224,10,0.9780709185525838,0.9744402759288394,0.9755052644318044,0.9733026745733995,0.9765708200212992,0.9755779907015854,0.0016539133487574551
