,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
62,3,49491,38.6580943107605,0.19191266628660755,0.1700132369995117,0.006520966640207823,0.1,12.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500}",0.8170337441907456,0.8216811477066074,0.8206527230473881,0.8222693745579468,0.8162069313933515,0.8195687841792079,0.002476233972485219,1,0.9969690846635684,0.9970953728025864,0.9974995580026772,0.9973985300431895,0.9976763569317809,0.9973277804887605,0.0002602670082707811
61,3,49491,3.417430114746094,0.033485478864945586,0.05190176963806152,0.0031496815753531073,0.1,6.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.7973327945039402,0.7959183673469388,0.7988279276548449,0.799939375568354,0.7968071132666464,0.7977651156681448,0.0014402864287984107,2,0.8507526773085472,0.847949080622348,0.8489379435758846,0.8503523350087137,0.8490894855151163,0.849416304406122,0.0010149316357686595
60,2,16497,24.019043731689454,0.26381393483657795,0.09754981994628906,0.006808437282029946,0.1,12.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500}",0.7969081539860564,0.7938769324037587,0.7953925431949076,0.8044862079418006,0.793573810245529,0.7968475295544104,0.004000293831178826,3,1.0,0.9999242252026976,0.9998484504053952,0.9999242252026976,0.9999242252026976,0.9999242252026976,4.792418974264549e-05
59,2,16497,2.6843334197998048,0.014717022321705336,0.04090166091918945,0.0021974733880698346,0.1,6.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.7862988784480146,0.7805395574416489,0.7832676568657169,0.7896332221885419,0.7893301000303122,0.7858138829948469,0.00350679717829151,4,0.8908842918845192,0.8887625975600515,0.8862620292490717,0.8940668333712207,0.8905811926953096,0.8901113889520346,0.00257295329904728
58,2,16497,2.688160848617554,0.012642277795490597,0.041297197341918945,0.00331671710547459,0.1,6.0,,,"{'learning_rate': 0.1, 'max_depth': 6}",0.7862988784480146,0.7805395574416489,0.7832676568657169,0.7896332221885419,0.7893301000303122,0.7858138829948469,0.00350679717829151,4,0.8908842918845192,0.8887625975600515,0.8862620292490717,0.8940668333712207,0.8905811926953096,0.8901113889520346,0.00257295329904728
56,2,16497,2.6625099182128906,0.027984809575029617,0.04014291763305664,3.493579908152535e-05,0.1,,,3.0,"{'learning_rate': 0.1, 'min_child_weight': 3}",0.7862988784480146,0.7756896029099727,0.7838739011821764,0.790845710821461,0.7887238557138527,0.7850863898150955,0.005246728468849687,6,0.881033568235205,0.8771690535727817,0.8740622868833826,0.8805789194513904,0.8800484958702736,0.8785784648026066,0.0026295492396738234
57,2,16497,2.7049893379211425,0.06643136156163687,0.041333484649658206,0.0024372126532177006,0.1,,,2.0,"{'learning_rate': 0.1, 'min_child_weight': 2}",0.7823582903910276,0.7793270688087299,0.7835707790239467,0.7911488329796909,0.7875113670809336,0.7847832676568657,0.004125135092137992,7,0.8877017503978177,0.8836856861407896,0.8795180722891566,0.8861862544517694,0.8845192089111161,0.8843221944381299,0.002771990813711918
48,1,5499,16.135932874679565,0.47830299864561227,0.07723770141601563,0.0030673737141593675,0.1,12.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500}",0.7570518653321201,0.7525022747952684,0.7652411282984531,0.7761601455868972,0.7534121929026387,0.7608735213830755,0.00886691735401626,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
52,1,5499,2.255007266998291,0.026805049309838225,0.0390662670135498,0.0013460992406507148,0.1,6.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.7470427661510464,0.7570518653321201,0.7606915377616015,0.7670609645131938,0.7652411282984531,0.759417652411283,0.007109017282847922,9,0.9449874971584451,0.9536258240509207,0.9422596044555581,0.9515799045237554,0.9456694703341668,0.9476244601045692,0.004271279538643522
50,1,5499,2.2582951545715333,0.022105267507504488,0.035927438735961915,0.003261787025045281,0.1,6.0,,,"{'learning_rate': 0.1, 'max_depth': 6}",0.7470427661510464,0.7570518653321201,0.7606915377616015,0.7670609645131938,0.7652411282984531,0.759417652411283,0.007109017282847922,9,0.9449874971584451,0.9536258240509207,0.9422596044555581,0.9515799045237554,0.9456694703341668,0.9476244601045692,0.004271279538643522
51,1,5499,2.181920385360718,0.011933749421862242,0.03971729278564453,0.0005573375961723194,0.1,,,2.0,"{'learning_rate': 0.1, 'min_child_weight': 2}",0.7561419472247498,0.7552320291173794,0.7579617834394905,0.7679708826205641,0.7588717015468608,0.759235668789809,0.00455322875457571,11,0.9343032507388043,0.9454421459422596,0.9327119799954535,0.9440781995908161,0.934985223914526,0.9383041600363718,0.005340139799054704
