,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_degree,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
20,2,90,0.15803542137145996,0.008446964983070388,0.007010698318481445,0.00257357610371996,poly,3.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 10}",0.980534553527832,0.9305201768875122,0.9688844680786133,0.9607694149017334,0.9562031030654907,0.9593823432922364,0.016629868062915804,1,0.9999998807907104,0.9999998211860657,0.9999998211860657,0.9999997615814209,0.9999998211860657,0.9999998211860657,3.769728732309794e-08
19,2,90,0.15405745506286622,0.007266443854993466,0.008600091934204102,0.0013530706498914248,poly,2.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'C': 10}",0.980534553527832,0.9305201768875122,0.9688844680786133,0.9607694149017334,0.9562031030654907,0.9593823432922364,0.016629868062915804,1,0.9999998807907104,0.9999998211860657,0.9999998211860657,0.9999997615814209,0.9999998211860657,0.9999998211860657,3.769728732309794e-08
18,1,30,0.14061260223388672,0.005647474383422341,0.008380317687988281,0.002399240705527066,poly,3.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 10}",0.8234067559242249,0.7567585706710815,0.6753020286560059,0.9423651099205017,0.7872700095176697,0.7970204949378967,0.08758170062164006,3,0.9999998807907104,0.9999998211860657,0.9999998807907104,0.9999998807907104,0.9999998211860657,0.9999998569488525,2.9200193199910855e-08
17,1,30,0.18390259742736817,0.03533223581046777,0.010051298141479491,0.002386959205197835,poly,2.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'C': 10}",0.8234067559242249,0.7567585706710815,0.6753020286560059,0.9423651099205017,0.7872700095176697,0.7970204949378967,0.08758170062164006,3,0.9999998807907104,0.9999998211860657,0.9999998807907104,0.9999998807907104,0.9999998211860657,0.9999998569488525,2.9200193199910855e-08
16,1,30,0.20024533271789552,0.011053631871668766,0.008321046829223633,0.003614408793699427,poly,3.0,1,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 1}",0.8234067559242249,0.7567585706710815,0.6753020286560059,0.9423651099205017,0.7872700095176697,0.7970204949378967,0.08758170062164006,3,0.9999998807907104,0.9999998211860657,0.9999998807907104,0.9999998807907104,0.9999998211860657,0.9999998569488525,2.9200193199910855e-08
15,1,30,0.17130212783813475,0.014542231014758706,0.008657264709472656,0.0008029771302462214,poly,2.0,1,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'C': 1}",0.8234067559242249,0.7567585706710815,0.6753020286560059,0.9423651099205017,0.7872700095176697,0.7970204949378967,0.08758170062164006,3,0.9999998807907104,0.9999998211860657,0.9999998807907104,0.9999998807907104,0.9999998211860657,0.9999998569488525,2.9200193199910855e-08
14,1,30,0.14983177185058594,0.007709242818643987,0.008879613876342774,0.001007572287691829,rbf,,10,0.001,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 10}",0.8234536051750183,0.756615936756134,0.6744498014450073,0.9402919411659241,0.7871913909912109,0.796400535106659,0.08715068488509158,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,0,10,0.12779898643493653,0.003866564420096343,0.008693265914916991,0.002417074180125026,poly,3.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 10}",0.2773025631904602,-0.35850632190704346,-8.06672191619873,,,,,8,0.9999995231628418,0.999999463558197,0.9999994039535522,0.9999994039535522,0.9999997615814209,0.9999995112419129,1.32745846815825e-07
12,0,10,0.13171954154968263,0.0051770582076542905,0.005731344223022461,0.005459206365083582,poly,2.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'C': 10}",0.2773025631904602,-0.35850632190704346,-8.06672191619873,,,,,8,0.9999995231628418,0.999999463558197,0.9999994039535522,0.9999994039535522,0.9999997615814209,0.9999995112419129,1.32745846815825e-07
11,0,10,0.13310394287109376,0.0018448198536430375,0.008687305450439452,0.003253975794760495,poly,3.0,1,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 1}",0.2773025631904602,-0.35850632190704346,-8.06672191619873,,,,,8,0.9999995231628418,0.999999463558197,0.9999994039535522,0.9999994039535522,0.9999997615814209,0.9999995112419129,1.32745846815825e-07
0,0,10,0.18660340309143067,0.04692238869857687,0.007750225067138672,0.004408764579179459,linear,3.0,1,,"{'kernel': 'linear', 'degree': 3, 'C': 1}",0.2760179042816162,-0.3570348024368286,-8.057843208312988,,,,,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,0,10,0.16759729385375977,0.005117530478027711,0.009740781784057618,0.0014041363761693971,rbf,,10,0.01,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 10}",0.2773025631904602,-0.35850632190704346,-8.06672191619873,,,,,8,0.9999995231628418,0.999999463558197,0.9999994039535522,0.9999994039535522,0.9999997615814209,0.9999995112419129,1.32745846815825e-07
7,0,10,0.1684877872467041,0.01225892843550785,0.0067917823791503905,0.0021414013709353244,rbf,,1,0.001,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 1}",0.2764601707458496,-0.35745882987976074,-8.058684349060059,,,,,8,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,1.0,0.9999999523162841,2.384185791015625e-08
6,0,10,0.13368916511535645,0.004626825154246136,0.007140064239501953,0.005628570567042199,rbf,,1,0.01,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 1}",0.2773025631904602,-0.35850632190704346,-8.06672191619873,,,,,8,0.9999995231628418,0.999999463558197,0.9999994039535522,0.9999994039535522,0.9999997615814209,0.9999995112419129,1.32745846815825e-07
