,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_degree,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
20,2,90,0.15348682403564454,0.0038136638511158763,0.008559989929199218,0.003269394045210185,poly,3.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 10}",0.980534553527832,0.9305201768875122,0.9688844680786133,0.9607694149017334,0.9562031030654907,0.9593823432922364,0.016629868062915804,1,0.9999998807907104,0.9999998211860657,0.9999998211860657,0.9999997615814209,0.9999998211860657,0.9999998211860657,3.769728732309794e-08
19,2,90,0.15774836540222167,0.004250801829937231,0.005521535873413086,0.0019643706040896568,poly,2.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'C': 10}",0.980534553527832,0.9305201768875122,0.9688844680786133,0.9607694149017334,0.9562031030654907,0.9593823432922364,0.016629868062915804,1,0.9999998807907104,0.9999998211860657,0.9999998211860657,0.9999997615814209,0.9999998211860657,0.9999998211860657,3.769728732309794e-08
18,1,30,0.1403047561645508,0.004643500836040343,0.009219884872436523,0.002851523216511321,poly,3.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 10}",0.8234067559242249,0.7567585706710815,0.6753020286560059,0.9423651099205017,0.7872700095176697,0.7970204949378967,0.08758170062164006,3,0.9999998807907104,0.9999998211860657,0.9999998807907104,0.9999998807907104,0.9999998211860657,0.9999998569488525,2.9200193199910855e-08
17,1,30,0.19582462310791016,0.04226457158784106,0.006815528869628907,0.004310115995020953,poly,2.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'C': 10}",0.8234067559242249,0.7567585706710815,0.6753020286560059,0.9423651099205017,0.7872700095176697,0.7970204949378967,0.08758170062164006,3,0.9999998807907104,0.9999998211860657,0.9999998807907104,0.9999998807907104,0.9999998211860657,0.9999998569488525,2.9200193199910855e-08
16,1,30,0.24571619033813477,0.04001144809428588,0.01027665138244629,0.0018988330564186286,poly,3.0,1,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 1}",0.8234067559242249,0.7567585706710815,0.6753020286560059,0.9423651099205017,0.7872700095176697,0.7970204949378967,0.08758170062164006,3,0.9999998807907104,0.9999998211860657,0.9999998807907104,0.9999998807907104,0.9999998211860657,0.9999998569488525,2.9200193199910855e-08
15,1,30,0.2414483070373535,0.025317709754456838,0.00944657325744629,0.001206440193584688,poly,2.0,1,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'C': 1}",0.8234067559242249,0.7567585706710815,0.6753020286560059,0.9423651099205017,0.7872700095176697,0.7970204949378967,0.08758170062164006,3,0.9999998807907104,0.9999998211860657,0.9999998807907104,0.9999998807907104,0.9999998211860657,0.9999998569488525,2.9200193199910855e-08
14,1,30,0.24785799980163575,0.011063665280605801,0.009640693664550781,0.0008016755855363776,rbf,,10,0.001,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 10}",0.8234536051750183,0.756615936756134,0.6744498014450073,0.9402919411659241,0.7871913909912109,0.796400535106659,0.08715068488509158,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,0,10,0.1967254638671875,0.0075850903707207085,0.008432149887084961,0.003210592485543909,poly,3.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 10}",0.2773025631904602,-0.35850632190704346,-8.06672191619873,,,,,8,0.9999995231628418,0.999999463558197,0.9999994039535522,0.9999994039535522,0.9999997615814209,0.9999995112419129,1.32745846815825e-07
12,0,10,0.18501920700073243,0.008072602365310275,0.010757064819335938,0.002551875554201485,poly,2.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'C': 10}",0.2773025631904602,-0.35850632190704346,-8.06672191619873,,,,,8,0.9999995231628418,0.999999463558197,0.9999994039535522,0.9999994039535522,0.9999997615814209,0.9999995112419129,1.32745846815825e-07
11,0,10,0.18064508438110352,0.007217571609386261,0.008745384216308594,0.0043651328020073085,poly,3.0,1,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 1}",0.2773025631904602,-0.35850632190704346,-8.06672191619873,,,,,8,0.9999995231628418,0.999999463558197,0.9999994039535522,0.9999994039535522,0.9999997615814209,0.9999995112419129,1.32745846815825e-07
