datetime,wd (deg)
2016-12-31 00:10:00,134628.55
2016-12-31 00:20:00,135999.08
2016-12-31 00:30:00,134760.52
2016-12-31 00:40:00,136136.83
2016-12-31 00:50:00,133955.52
2016-12-31 01:00:00,139979.1
2016-12-31 01:10:00,133936.61
2016-12-31 01:20:00,136005.06
2016-12-31 01:30:00,137003.73
2016-12-31 01:40:00,139825.36
2016-12-31 01:50:00,140328.67
2016-12-31 02:00:00,139084.2
2016-12-31 02:10:00,141721.89
2016-12-31 02:20:00,141472.67
2016-12-31 02:30:00,145143.44
2016-12-31 02:40:00,141516.0
2016-12-31 02:50:00,148572.8
2016-12-31 03:00:00,143646.62
2016-12-31 03:10:00,147773.14
2016-12-31 03:20:00,149110.27
2016-12-31 03:30:00,146301.44
2016-12-31 03:40:00,154897.86
2016-12-31 03:50:00,151608.77
2016-12-31 04:00:00,153003.86
2016-12-31 04:10:00,153568.44
2016-12-31 04:20:00,154497.95
2016-12-31 04:30:00,157663.94
2016-12-31 04:40:00,155247.98
2016-12-31 04:50:00,158623.78
2016-12-31 05:00:00,158179.28
2016-12-31 05:10:00,163175.22
2016-12-31 05:20:00,163051.62
2016-12-31 05:30:00,165595.69
2016-12-31 05:40:00,164724.58
2016-12-31 05:50:00,167258.67
2016-12-31 06:00:00,167943.97
2016-12-31 06:10:00,168443.39
2016-12-31 06:20:00,169868.36
2016-12-31 06:30:00,171019.53
2016-12-31 06:40:00,163598.44
2016-12-31 06:50:00,164333.9
2016-12-31 07:00:00,164916.83
2016-12-31 07:10:00,164315.72
2016-12-31 07:20:00,162325.05
2016-12-31 07:30:00,159198.84
2016-12-31 07:40:00,160648.19
2016-12-31 07:50:00,165002.28
2016-12-31 08:00:00,162130.5
2016-12-31 08:10:00,157427.5
2016-12-31 08:20:00,156330.89
2016-12-31 08:30:00,156070.12
2016-12-31 08:40:00,152617.34
2016-12-31 08:50:00,152074.86
2016-12-31 09:00:00,150559.69
2016-12-31 09:10:00,151166.69
2016-12-31 09:20:00,149877.39
2016-12-31 09:30:00,149947.83
2016-12-31 09:40:00,153644.36
2016-12-31 09:50:00,150620.97
2016-12-31 10:00:00,155948.14
2016-12-31 10:10:00,154049.6
2016-12-31 10:20:00,151019.73
2016-12-31 10:30:00,154002.81
2016-12-31 10:40:00,154357.67
2016-12-31 10:50:00,156607.66
2016-12-31 11:00:00,161474.77
2016-12-31 11:10:00,157633.72
2016-12-31 11:20:00,161314.05
2016-12-31 11:30:00,155969.25
2016-12-31 11:40:00,157464.6
2016-12-31 11:50:00,169024.39
2016-12-31 12:00:00,164480.98
2016-12-31 12:10:00,164889.97
2016-12-31 12:20:00,164845.48
2016-12-31 12:30:00,160779.94
2016-12-31 12:40:00,160222.72
2016-12-31 12:50:00,163717.89
2016-12-31 13:00:00,163163.72
2016-12-31 13:10:00,162652.83
2016-12-31 13:20:00,164831.44
2016-12-31 13:30:00,166498.62
2016-12-31 13:40:00,166195.89
2016-12-31 13:50:00,167753.28
2016-12-31 14:00:00,169749.64
2016-12-31 14:10:00,169725.36
2016-12-31 14:20:00,162738.83
2016-12-31 14:30:00,167000.81
2016-12-31 14:40:00,167534.7
2016-12-31 14:50:00,171734.28
2016-12-31 15:00:00,169488.81
2016-12-31 15:10:00,168877.05
2016-12-31 15:20:00,167992.66
2016-12-31 15:30:00,171077.16
2016-12-31 15:40:00,171941.17
2016-12-31 15:50:00,165841.48
2016-12-31 16:00:00,166418.2
2016-12-31 16:10:00,170452.02
2016-12-31 16:20:00,168667.36
2016-12-31 16:30:00,167994.05
2016-12-31 16:40:00,170442.05
2016-12-31 16:50:00,171897.84
2016-12-31 17:00:00,170651.34
2016-12-31 17:10:00,168412.33
2016-12-31 17:20:00,168621.64
2016-12-31 17:30:00,170368.45
2016-12-31 17:40:00,168868.83
2016-12-31 17:50:00,169225.44
2016-12-31 18:00:00,170661.31
2016-12-31 18:10:00,169709.28
2016-12-31 18:20:00,171108.38
2016-12-31 18:30:00,174025.23
2016-12-31 18:40:00,173731.7
2016-12-31 18:50:00,172867.23
2016-12-31 19:00:00,175431.7
2016-12-31 19:10:00,171816.34
2016-12-31 19:20:00,175419.95
2016-12-31 19:30:00,175511.03
2016-12-31 19:40:00,182125.1
2016-12-31 19:50:00,182634.3
2016-12-31 20:00:00,181773.33
2016-12-31 20:10:00,187703.36
2016-12-31 20:20:00,181520.25
2016-12-31 20:30:00,186667.83
2016-12-31 20:40:00,185499.92
2016-12-31 20:50:00,187520.4
2016-12-31 21:00:00,186166.11
2016-12-31 21:10:00,191678.4
2016-12-31 21:20:00,184876.02
2016-12-31 21:30:00,187948.27
2016-12-31 21:40:00,189354.3
2016-12-31 21:50:00,187140.94
2016-12-31 22:00:00,187152.42
2016-12-31 22:10:00,184723.8
2016-12-31 22:20:00,184478.62
2016-12-31 22:30:00,186465.02
2016-12-31 22:40:00,182492.6
2016-12-31 22:50:00,186892.52
2016-12-31 23:00:00,182758.45
2016-12-31 23:10:00,182728.2
2016-12-31 23:20:00,180292.44
2016-12-31 23:30:00,181265.1
2016-12-31 23:40:00,180503.92
2016-12-31 23:50:00,179362.92
2017-01-01 00:00:00,178070.6
