datetime,wd (deg)
2016-12-31 00:10:00,208.63838
2016-12-31 00:20:00,207.56747
2016-12-31 00:30:00,206.7826
2016-12-31 00:40:00,206.38248
2016-12-31 00:50:00,205.29886
2016-12-31 01:00:00,205.97765
2016-12-31 01:10:00,204.5781
2016-12-31 01:20:00,204.47124
2016-12-31 01:30:00,203.62079
2016-12-31 01:40:00,204.12572
2016-12-31 01:50:00,202.70648
2016-12-31 02:00:00,203.23634
2016-12-31 02:10:00,202.58989
2016-12-31 02:20:00,202.77179
2016-12-31 02:30:00,202.7876
2016-12-31 02:40:00,202.45038
2016-12-31 02:50:00,201.06715
2016-12-31 03:00:00,200.45514
2016-12-31 03:10:00,200.5984
2016-12-31 03:20:00,200.12029
2016-12-31 03:30:00,200.35759
2016-12-31 03:40:00,201.78537
2016-12-31 03:50:00,201.03705
2016-12-31 04:00:00,201.84448
2016-12-31 04:10:00,201.34988
2016-12-31 04:20:00,201.0507
2016-12-31 04:30:00,200.0307
2016-12-31 04:40:00,200.28955
2016-12-31 04:50:00,200.28696
2016-12-31 05:00:00,200.40732
2016-12-31 05:10:00,201.30003
2016-12-31 05:20:00,200.37967
2016-12-31 05:30:00,199.99614
2016-12-31 05:40:00,200.55083
2016-12-31 05:50:00,199.63803
2016-12-31 06:00:00,199.65775
2016-12-31 06:10:00,199.84953
2016-12-31 06:20:00,198.83711
2016-12-31 06:30:00,199.03061
2016-12-31 06:40:00,198.12614
2016-12-31 06:50:00,198.27933
2016-12-31 07:00:00,197.33823
2016-12-31 07:10:00,198.56621
2016-12-31 07:20:00,197.32582
2016-12-31 07:30:00,196.33472
2016-12-31 07:40:00,195.98248
2016-12-31 07:50:00,196.47697
2016-12-31 08:00:00,197.13332
2016-12-31 08:10:00,197.47763
2016-12-31 08:20:00,197.54974
2016-12-31 08:30:00,196.22133
2016-12-31 08:40:00,195.43384
2016-12-31 08:50:00,195.71117
2016-12-31 09:00:00,195.7749
2016-12-31 09:10:00,196.32852
2016-12-31 09:20:00,195.76643
2016-12-31 09:30:00,194.67989
2016-12-31 09:40:00,194.58113
2016-12-31 09:50:00,194.93088
2016-12-31 10:00:00,194.28986
2016-12-31 10:10:00,194.85258
2016-12-31 10:20:00,194.69589
2016-12-31 10:30:00,193.67274
2016-12-31 10:40:00,192.97353
2016-12-31 10:50:00,193.4996
2016-12-31 11:00:00,193.72043
2016-12-31 11:10:00,194.33154
2016-12-31 11:20:00,194.87619
2016-12-31 11:30:00,195.12071
2016-12-31 11:40:00,195.52397
2016-12-31 11:50:00,194.67151
2016-12-31 12:00:00,195.07878
2016-12-31 12:10:00,195.12354
2016-12-31 12:20:00,194.20122
2016-12-31 12:30:00,194.13268
2016-12-31 12:40:00,193.85367
2016-12-31 12:50:00,194.46088
2016-12-31 13:00:00,194.68048
2016-12-31 13:10:00,194.72232
2016-12-31 13:20:00,194.03717
2016-12-31 13:30:00,194.71527
2016-12-31 13:40:00,194.6084
2016-12-31 13:50:00,193.58662
2016-12-31 14:00:00,192.5758
2016-12-31 14:10:00,193.84547
2016-12-31 14:20:00,194.23134
2016-12-31 14:30:00,193.4466
2016-12-31 14:40:00,193.91093
2016-12-31 14:50:00,193.50099
2016-12-31 15:00:00,194.40868
2016-12-31 15:10:00,194.85817
2016-12-31 15:20:00,194.96661
2016-12-31 15:30:00,195.43176
2016-12-31 15:40:00,194.99472
2016-12-31 15:50:00,195.10268
2016-12-31 16:00:00,193.96863
2016-12-31 16:10:00,195.09247
2016-12-31 16:20:00,194.4514
2016-12-31 16:30:00,193.65266
2016-12-31 16:40:00,194.03313
2016-12-31 16:50:00,194.32602
2016-12-31 17:00:00,194.15324
2016-12-31 17:10:00,195.61992
2016-12-31 17:20:00,193.71678
2016-12-31 17:30:00,194.22205
2016-12-31 17:40:00,194.55539
2016-12-31 17:50:00,193.53798
2016-12-31 18:00:00,193.79541
2016-12-31 18:10:00,195.9828
2016-12-31 18:20:00,194.5296
2016-12-31 18:30:00,194.34477
2016-12-31 18:40:00,195.83206
2016-12-31 18:50:00,195.5231
2016-12-31 19:00:00,194.15474
2016-12-31 19:10:00,194.74379
2016-12-31 19:20:00,195.79579
2016-12-31 19:30:00,196.4749
2016-12-31 19:40:00,196.17665
2016-12-31 19:50:00,196.6871
2016-12-31 20:00:00,196.42422
2016-12-31 20:10:00,198.12686
2016-12-31 20:20:00,197.42262
2016-12-31 20:30:00,199.11914
2016-12-31 20:40:00,198.64699
2016-12-31 20:50:00,198.24756
2016-12-31 21:00:00,199.00288
2016-12-31 21:10:00,198.71318
2016-12-31 21:20:00,197.80212
2016-12-31 21:30:00,198.4778
2016-12-31 21:40:00,198.45241
2016-12-31 21:50:00,197.53244
2016-12-31 22:00:00,197.5622
2016-12-31 22:10:00,198.16711
2016-12-31 22:20:00,199.36313
2016-12-31 22:30:00,199.26416
2016-12-31 22:40:00,198.91982
2016-12-31 22:50:00,198.48424
2016-12-31 23:00:00,199.23381
2016-12-31 23:10:00,199.7682
2016-12-31 23:20:00,200.64732
2016-12-31 23:30:00,199.98718
2016-12-31 23:40:00,199.09578
2016-12-31 23:50:00,198.28992
2017-01-01 00:00:00,198.91061
