,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
20,2,16506,0.29210481643676756,0.006662986508927702,0.0034379959106445312,0.002379199168032534,100,4.0,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.834307567861661,0.8334287151827915,0.8301731537358065,0.8296051375143845,0.8298961950945097,0.8314821538778308,0.0019760567884983473,1,0.9528103174910812,0.9529624387904582,0.952613233909711,0.9517075743613028,0.9540257739849477,0.9528238677075003,0.0007422185237112455
19,2,16506,0.30673937797546386,0.0034130858083406125,0.007149696350097656,0.0019114804873213169,100,3.0,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.834307567861661,0.8334287151827915,0.8301731537358065,0.8296051375143845,0.8298961950945097,0.8314821538778308,0.0019760567884983473,1,0.9528103174910812,0.9529624387904582,0.952613233909711,0.9517075743613028,0.9540257739849477,0.9528238677075003,0.0007422185237112455
18,1,5502,0.29009833335876467,0.0017468359061798143,0.0026970386505126955,0.001393183950425031,100,4.0,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.7801137682694248,0.8116267977199282,0.8059424977314031,0.8198565008984857,0.8046041583623839,0.8044287445963251,0.013291861612355677,3,0.9861402514816859,0.9841967615024311,0.9829933591571506,0.9835559807978616,0.9848295831410371,0.9843431872160332,0.0010889620005957725
17,1,5502,0.30285000801086426,0.008469822188316031,0.003272247314453125,0.0027674837457676922,100,3.0,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.7801137682694248,0.8116267977199282,0.8059424977314031,0.8198565008984857,0.8046041583623839,0.8044287445963251,0.013291861612355677,3,0.9861402514816859,0.9841967615024311,0.9829933591571506,0.9835559807978616,0.9848295831410371,0.9843431872160332,0.0010889620005957725
16,1,5502,0.29749393463134766,0.006749536767300541,0.005632829666137695,0.0036701945723924207,10,4.0,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",0.7801137682694248,0.8116267977199282,0.8059424977314031,0.8198565008984857,0.8046041583623839,0.8044287445963251,0.013291861612355677,3,0.9861402514816859,0.9841967615024311,0.9829933591571506,0.9835559807978616,0.9848295831410371,0.9843431872160332,0.0010889620005957725
15,1,5502,0.29964847564697267,0.008687048690933537,0.0017994880676269532,0.002225402708808644,10,3.0,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",0.7801137682694248,0.8116267977199282,0.8059424977314031,0.8198565008984857,0.8046041583623839,0.8044287445963251,0.013291861612355677,3,0.9861402514816859,0.9841967615024311,0.9829933591571506,0.9835559807978616,0.9848295831410371,0.9843431872160332,0.0010889620005957725
14,1,5502,0.31653380393981934,0.01551186077247595,0.004005861282348633,0.002615251461308085,1,4.0,linear,,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",0.7801137682694248,0.8116267977199282,0.8059424977314031,0.8198565008984857,0.8046041583623839,0.8044287445963251,0.013291861612355677,3,0.9861402514816859,0.9841967615024311,0.9829933591571506,0.9835559807978616,0.9848295831410371,0.9843431872160332,0.0010889620005957725
0,0,1834,0.301925802230835,0.05885045810132328,0.0054857730865478516,0.0032816616118868896,1,3.0,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",0.7387106850445126,0.7567816579578376,0.7678643541473544,0.752308947519121,0.7262205226663773,0.7483772334670407,0.014492774687596981,8,0.9989963367305498,0.998604359782875,0.9987870176155135,0.9988922357557259,0.998906551146017,0.9988373002061361,0.0001340863923666368
5,0,1834,0.2904167652130127,0.0032606567382320244,0.0037932395935058594,0.0021518115267702264,100,4.0,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.7387106850445126,0.7567816579578376,0.7678643541473544,0.752308947519121,0.7262205226663773,0.7483772334670407,0.014492774687596981,8,0.9989963367305498,0.998604359782875,0.9987870176155135,0.9988922357557259,0.998906551146017,0.9988373002061361,0.0001340863923666368
4,0,1834,0.27782044410705564,0.008230523129699957,0.0034044742584228515,0.002655147756751042,100,3.0,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.7387106850445126,0.7567816579578376,0.7678643541473544,0.752308947519121,0.7262205226663773,0.7483772334670407,0.014492774687596981,8,0.9989963367305498,0.998604359782875,0.9987870176155135,0.9988922357557259,0.998906551146017,0.9988373002061361,0.0001340863923666368
