,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
20,2,1062,0.31237220764160156,0.004747306480824645,0.006510877609252929,0.0037267108897214474,100,4.0,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.7381236355834246,0.7592417087313188,0.7813754542297515,0.7486330574311296,0.7445068748024868,0.7543761461556222,0.015147052655209003,1,0.999710465114434,0.9996355292084476,0.9998015494055299,0.9997147623949573,0.9996226507634961,0.999696991377373,6.439542994505206e-05
19,2,1062,0.3354045391082764,0.02289089746757298,0.0056607723236083984,0.004097336485072743,100,3.0,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.7381236355834246,0.7592417087313188,0.7813754542297515,0.7486330574311296,0.7445068748024868,0.7543761461556222,0.015147052655209003,1,0.999710465114434,0.9996355292084476,0.9998015494055299,0.9997147623949573,0.9996226507634961,0.999696991377373,6.439542994505206e-05
18,1,354,0.34618892669677737,0.0039655274775315785,0.008026742935180664,0.003107527026267815,100,4.0,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.5787088710573923,0.8505544969800571,0.7472718786179724,0.631614994297692,0.6617487003089979,0.6939797882524223,0.09546861391545373,3,0.9999997840191178,0.9999993691472463,0.9999995172311128,0.9999993314209912,0.9999992248228308,0.9999994453282597,1.935368566824034e-07
17,1,354,0.3367317676544189,0.0039657794222406305,0.008426666259765625,0.00320744675561321,100,3.0,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.5787088710573923,0.8505544969800571,0.7472718786179724,0.631614994297692,0.6617487003089979,0.6939797882524223,0.09546861391545373,3,0.9999997840191178,0.9999993691472463,0.9999995172311128,0.9999993314209912,0.9999992248228308,0.9999994453282597,1.935368566824034e-07
16,1,354,0.34304251670837405,0.0013808368755070433,0.007223606109619141,0.003723926060931456,10,4.0,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",0.5787088710573923,0.8505544969800571,0.7472718786179724,0.631614994297692,0.6617487003089979,0.6939797882524223,0.09546861391545373,3,0.9999997840191178,0.9999993691472463,0.9999995172311128,0.9999993314209912,0.9999992248228308,0.9999994453282597,1.935368566824034e-07
15,1,354,0.3480520248413086,0.004545657381778466,0.008030939102172851,0.003109771823972198,10,3.0,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",0.5787088710573923,0.8505544969800571,0.7472718786179724,0.631614994297692,0.6617487003089979,0.6939797882524223,0.09546861391545373,3,0.9999997840191178,0.9999993691472463,0.9999995172311128,0.9999993314209912,0.9999992248228308,0.9999994453282597,1.935368566824034e-07
14,1,354,0.38086090087890623,0.028649372085434423,0.005515670776367188,0.003199948435011307,1,4.0,linear,,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",0.5787088710573923,0.8505544969800571,0.7472718786179724,0.631614994297692,0.6617487003089979,0.6939797882524223,0.09546861391545373,3,0.9999997840191178,0.9999993691472463,0.9999995172311128,0.9999993314209912,0.9999992248228308,0.9999994453282597,1.935368566824034e-07
0,0,118,0.23643670082092286,0.0570984205997742,0.011147832870483399,0.0014815928005426841,1,3.0,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",0.3761022369468918,0.8180596975221719,0.45942355869500884,0.3591960989466919,0.6031557767300906,0.523187473768171,0.17084357324307342,8,0.9999999998946962,0.9999999998541326,0.999999999877531,0.9999999998642095,0.9999999998725654,0.9999999998726269,1.359412978526643e-11
5,0,118,0.21905336380004883,0.016507810524922326,0.007957935333251953,0.0029957714772340343,100,4.0,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.3761022369468918,0.8180596975221719,0.45942355869500884,0.3591960989466919,0.6031557767300906,0.523187473768171,0.17084357324307342,8,0.9999999998946962,0.9999999998541326,0.999999999877531,0.9999999998642095,0.9999999998725654,0.9999999998726269,1.359412978526643e-11
4,0,118,0.21512351036071778,0.0060662188953684954,0.007279014587402344,0.002278420995095015,100,3.0,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.3761022369468918,0.8180596975221719,0.45942355869500884,0.3591960989466919,0.6031557767300906,0.523187473768171,0.17084357324307342,8,0.9999999998946962,0.9999999998541326,0.999999999877531,0.9999999998642095,0.9999999998725654,0.9999999998726269,1.359412978526643e-11
