,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
62,3,132003,0.3661952495574951,0.0023334965906689066,0.010851144790649414,0.0002387762248248257,0.1,,,10.0,"{'learning_rate': 0.1, 'min_child_weight': 10}",0.8633763872580584,0.8645505852051059,0.8682954545454545,0.8656439393939394,0.8620075757575758,0.8647747884320267,0.0021360604950605676,1,0.8709103133493054,0.8710050094222592,0.8696804984754076,0.8702581390503967,0.8709210052839909,0.8705549931162719,0.0005129513161895017
61,3,132003,1.7176142692565919,0.07082858940326274,0.01720128059387207,0.0003766424579692193,0.01,6.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.8634900193174501,0.8637172834362334,0.8679545454545454,0.865530303030303,0.8623863636363637,0.864615702974979,0.0019508273945011755,2,0.8683345801649606,0.8683061713430744,0.8674741008693018,0.8676350826688889,0.8683547660082196,0.8680209402108889,0.00038446997041306617
56,2,44001,0.3094762325286865,0.0046289566523924795,0.0076179981231689455,0.00047341651423326767,0.1,,,10.0,"{'learning_rate': 0.1, 'min_child_weight': 10}",0.8629545454545454,0.865,0.8627272727272727,0.8614772727272727,0.8647727272727272,0.8633863636363636,0.0013259956496195367,3,0.8775284090909091,0.8756818181818182,0.8764204545454546,0.8760795454545455,0.8765625,0.8764545454545456,0.0006170465009199209
60,2,44001,1.485513401031494,0.039311207488495266,0.01327667236328125,0.001524919384032029,0.01,6.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.8634090909090909,0.862840909090909,0.8640909090909091,0.86,0.8619318181818182,0.8624545454545455,0.0014167679432280742,4,0.8750284090909091,0.8722443181818181,0.871875,0.8732102272727272,0.8735227272727273,0.8731761363636362,0.0011057524736838142
58,2,44001,0.3096872329711914,0.0022657829585642094,0.007837200164794922,0.0004357377400911607,0.1,6.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.8629545454545454,0.8638636363636364,0.8618181818181818,0.8598863636363636,0.8634090909090909,0.8623863636363638,0.0014229523493180572,5,0.8806818181818182,0.8804261363636363,0.8795170454545455,0.8805965909090909,0.8805681818181819,0.8803579545454546,0.00042844073912521355
57,2,44001,0.3143486022949219,0.0026589526553779585,0.007380390167236328,0.0004885971129893826,0.1,6.0,,,"{'learning_rate': 0.1, 'max_depth': 6}",0.8629545454545454,0.8638636363636364,0.8618181818181818,0.8598863636363636,0.8634090909090909,0.8623863636363638,0.0014229523493180572,5,0.8806818181818182,0.8804261363636363,0.8795170454545455,0.8805965909090909,0.8805681818181819,0.8803579545454546,0.00042844073912521355
59,2,44001,0.309627103805542,0.0028901299767181737,0.007591629028320312,0.00047460205285477554,0.1,,,2.0,"{'learning_rate': 0.1, 'min_child_weight': 2}",0.862840909090909,0.8644318181818181,0.8627272727272727,0.8594318181818181,0.8620454545454546,0.8622954545454545,0.0016316219177997784,7,0.8801420454545454,0.8791477272727273,0.8798295454545455,0.88,0.8792613636363636,0.8796761363636364,0.0003991856379602325
55,1,14667,1.435675811767578,0.0754772976073037,0.012272119522094727,0.00039160197546818533,0.01,6.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.8608932833276509,0.8591885441527446,0.8520286396181385,0.8615751789976134,0.8636208660075009,0.8594613024207296,0.003978439044204516,8,0.8895423165430836,0.8836614676553312,0.8869854257223216,0.8864740475581693,0.8882638711327027,0.8869854257223218,0.0019739462097283157
51,1,14667,0.30260071754455564,0.005284025335310631,0.007004833221435547,2.8544828049426898e-05,0.1,,,2.0,"{'learning_rate': 0.1, 'min_child_weight': 2}",0.8605523354926696,0.8574838049778384,0.8530514831230822,0.8615751789976134,0.8646437095124446,0.8594613024207296,0.003937320159086816,8,0.9019006221767664,0.9007074064604108,0.9003664876843092,0.8977243671695219,0.8997698798261314,0.9000937526634278,0.0013736530890926888
52,1,14667,0.3079744815826416,0.0056249082265793235,0.00700674057006836,3.097629017153225e-05,0.1,6.0,,,"{'learning_rate': 0.1, 'max_depth': 6}",0.8632799181725196,0.8557790658029322,0.8530514831230822,0.8591885441527446,0.8646437095124446,0.8591885441527447,0.0043768991574173,10,0.9031790675871474,0.8995994204380806,0.9015597034006648,0.9016449330946902,0.9034347566692236,0.9018835762379613,0.0013757667279625844
53,1,14667,0.3051892280578613,0.001155473476353915,0.006610298156738281,0.0004866114578538479,0.1,6.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.8632799181725196,0.8557790658029322,0.8530514831230822,0.8591885441527446,0.8646437095124446,0.8591885441527447,0.0043768991574173,10,0.9031790675871474,0.8995994204380806,0.9015597034006648,0.9016449330946902,0.9034347566692236,0.9018835762379613,0.0013757667279625844
54,1,14667,0.3013449668884277,0.00240396435646643,0.006781864166259766,0.0003990175334262532,0.1,,,10.0,"{'learning_rate': 0.1, 'min_child_weight': 10}",0.8585066484827821,0.8588475963177634,0.8533924309580634,0.8581657006478008,0.8636208660075009,0.858506648482782,0.0032416950082522415,12,0.8926958152220233,0.8854512912298644,0.889201397766982,0.888349100826728,0.8886900196028297,0.8888775249296856,0.0023124749519627336
50,1,14667,0.2834636688232422,0.004261596162401923,0.007005882263183594,0.0006333523278236959,0.1,,,5.0,"{'learning_rate': 0.1, 'min_child_weight': 5}",0.8615751789976134,0.8554381179679509,0.8523695874531196,0.8605523354926696,0.8615751789976134,0.8583020797817934,0.003738629433855539,13,0.8983209750276997,0.8922696667518963,0.8949970169607091,0.8924401261399472,0.8966163811471917,0.8949288332054888,0.0023504860054040797
44,1,14667,0.3004341125488281,0.013768574794402952,0.006823062896728516,0.0004203757281130171,0.1,,,3.0,"{'learning_rate': 0.1, 'min_child_weight': 3}",0.8608932833276509,0.8564609614728946,0.8503239004432321,0.8585066484827821,0.8636208660075009,0.8579611319468121,0.004505674336633316,14,0.9017301627887155,0.8958493139009631,0.8978948265575727,0.8964459217591408,0.8978948265575727,0.8979630103127929,0.002047926074193408
48,1,14667,0.43076229095458984,0.019892879294829344,0.007861948013305664,0.0004540051848207165,0.1,8.0,,,"{'learning_rate': 0.1, 'max_depth': 8}",0.8554381179679509,0.8550971701329697,0.8455506307534947,0.8598704398227072,0.8622570746675758,0.8556426866689396,0.0057238632857642986,15,0.9427256456149322,0.9441745504133641,0.9434927128611609,0.9388050796897639,0.9409358220403988,0.942026762123924,0.0019400944413446846
