,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
60,2,900,7.2545812129974365,0.16844430657608467,0.04013528823852539,0.000519068526016329,0.1,6.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9444444444444444,0.9611111111111111,0.9162011173184358,0.9608938547486033,0.9385474860335196,0.944239602731223,0.016616923434510274,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
58,2,900,7.115132904052734,0.3986130916082863,0.04046263694763184,0.005572663991733239,0.1,10.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}",0.95,0.9611111111111111,0.9106145251396648,0.9497206703910615,0.9385474860335196,0.9419987585350714,0.01723839433578399,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
57,2,900,7.421660137176514,0.4561493699769814,0.0440575122833252,0.007357860018762918,0.1,12.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500}",0.95,0.9611111111111111,0.9106145251396648,0.9497206703910615,0.9385474860335196,0.9419987585350714,0.01723839433578399,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
59,2,900,2.201211452484131,0.06784209506850718,0.011658096313476562,0.003233685100381771,0.1,,,2.0,"{'learning_rate': 0.1, 'min_child_weight': 2}",0.9333333333333333,0.9611111111111111,0.9162011173184358,0.9441340782122905,0.9329608938547486,0.9375481067659839,0.014785743062256709,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
56,2,900,2.098589468002319,0.08186296508715427,0.011742687225341797,0.003228324251225145,0.1,,,3.0,"{'learning_rate': 0.1, 'min_child_weight': 3}",0.9277777777777778,0.9611111111111111,0.9217877094972067,0.9273743016759777,0.9329608938547486,0.9342023587833644,0.013911457931233329,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
52,1,300,6.233468675613404,1.0174025450989952,0.03448872566223145,0.009042093803402554,0.1,6.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9166666666666666,0.9,0.864406779661017,0.9491525423728814,0.9152542372881356,0.9090960451977402,0.02749410517780552,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
55,1,300,1.9140769004821778,0.034156154033981354,0.012520837783813476,0.003839560459926985,0.1,,,2.0,"{'learning_rate': 0.1, 'min_child_weight': 2}",0.9333333333333333,0.9,0.847457627118644,0.9491525423728814,0.9152542372881356,0.909039548022599,0.03496257740445018,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
48,1,300,6.739560747146607,0.09930816793649169,0.04038019180297851,0.0004436438798779308,0.1,12.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500}",0.9166666666666666,0.9,0.847457627118644,0.9491525423728814,0.9152542372881356,0.9057062146892656,0.033239550154422745,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
50,1,300,6.727463817596435,0.06037525915044102,0.040920162200927736,0.0008052199673436799,0.1,10.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}",0.9166666666666666,0.9,0.847457627118644,0.9491525423728814,0.9152542372881356,0.9057062146892656,0.033239550154422745,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
54,1,300,1.756399917602539,0.07862677064772643,0.010410308837890625,0.0007207020826599921,0.1,,,3.0,"{'learning_rate': 0.1, 'min_child_weight': 3}",0.9166666666666666,0.9,0.847457627118644,0.9322033898305084,0.9152542372881356,0.9023163841807911,0.029262264503057776,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
47,1,300,2.1068264484405517,0.02358809094139399,0.013719844818115234,0.0037713045126750193,0.1,6.0,,,"{'learning_rate': 0.1, 'max_depth': 6}",0.9,0.9,0.864406779661017,0.9491525423728814,0.8813559322033898,0.8989830508474578,0.02837350909537842,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
44,1,300,1.7251080513000487,0.2118667619272913,0.006437063217163086,0.004479852790979926,0.1,6.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9,0.9,0.864406779661017,0.9491525423728814,0.8813559322033898,0.8989830508474578,0.02837350909537842,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
53,1,300,1.9050889968872071,0.1465090241093042,0.010157251358032226,0.00024395035616164325,0.1,10.0,,,"{'learning_rate': 0.1, 'max_depth': 10}",0.9,0.9,0.847457627118644,0.9491525423728814,0.8813559322033898,0.8955932203389831,0.0329459439045907,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
51,1,300,2.055696153640747,0.07966235150891593,0.010911178588867188,0.0009353564866515209,0.1,10.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}",0.9,0.9,0.847457627118644,0.9491525423728814,0.8813559322033898,0.8955932203389831,0.0329459439045907,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
49,1,300,2.1187235832214357,0.02024164189775597,0.010075616836547851,8.014743297196986e-05,0.1,12.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 100}",0.9,0.9,0.847457627118644,0.9491525423728814,0.8813559322033898,0.8955932203389831,0.0329459439045907,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
46,1,300,2.1177042961120605,0.02330785678834827,0.010935783386230469,0.0009364495069650769,0.1,8.0,,,"{'learning_rate': 0.1, 'max_depth': 8}",0.9,0.9,0.847457627118644,0.9491525423728814,0.8813559322033898,0.8955932203389831,0.0329459439045907,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
45,1,300,2.093826150894165,0.03880906339981426,0.011748361587524413,0.003152304272728033,0.1,12.0,,,"{'learning_rate': 0.1, 'max_depth': 12}",0.9,0.9,0.847457627118644,0.9491525423728814,0.8813559322033898,0.8955932203389831,0.0329459439045907,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
42,1,300,11.927575922012329,0.43484060169869176,0.07101235389709473,0.006138734801955837,0.01,10.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500}",0.8833333333333333,0.8666666666666667,0.847457627118644,0.9322033898305084,0.864406779661017,0.8788135593220339,0.029014476195728715,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
43,1,300,11.337268304824828,0.1669790370336478,0.07256064414978028,0.0038282070563132884,0.01,6.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.8833333333333333,0.8666666666666667,0.847457627118644,0.9322033898305084,0.864406779661017,0.8788135593220339,0.029014476195728715,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
30,0,100,1.6133831977844237,0.022396410986200866,0.011998653411865234,0.0030752242657635285,0.1,,,2.0,"{'learning_rate': 0.1, 'min_child_weight': 2}",0.75,0.75,0.6842105263157895,0.631578947368421,0.9473684210526315,0.7526315789473684,0.1070247337245408,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
31,0,100,1.5174858570098877,0.07600343042180653,0.01025996208190918,0.00030666808251769245,0.1,,,3.0,"{'learning_rate': 0.1, 'min_child_weight': 3}",0.65,0.75,0.7368421052631579,0.631578947368421,0.8421052631578947,0.7221052631578948,0.07588079293762094,21,1.0,0.9873417721518988,1.0,1.0,1.0,0.9974683544303797,0.005063291139240489
20,0,100,1.6667710304260255,0.035284844987110826,0.011785888671875,0.0032234580754299004,0.1,10.0,,,"{'learning_rate': 0.1, 'max_depth': 10}",0.8,0.7,0.631578947368421,0.5263157894736842,0.8421052631578947,0.7,0.11405397954173928,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0,100,5.592787027359009,0.8472785848254026,0.038311433792114255,0.005453249983153339,0.1,6.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.8,0.7,0.631578947368421,0.5263157894736842,0.8421052631578947,0.7,0.11405397954173928,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0,100,1.6923375606536866,0.03187830593375638,0.012196159362792969,0.003117980497818178,0.1,10.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}",0.8,0.7,0.631578947368421,0.5263157894736842,0.8421052631578947,0.7,0.11405397954173928,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0,100,6.359043931961059,0.2807880693484416,0.04297051429748535,0.006125903544496602,0.1,10.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}",0.8,0.7,0.631578947368421,0.5263157894736842,0.8421052631578947,0.7,0.11405397954173928,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0,100,1.2649332523345946,0.28005045323557604,0.007005643844604492,0.004470144319074014,0.1,12.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 100}",0.8,0.7,0.631578947368421,0.5263157894736842,0.8421052631578947,0.7,0.11405397954173928,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0,100,5.849462652206421,0.5974845794795466,0.038412046432495114,0.00623292640039147,0.1,12.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500}",0.8,0.7,0.631578947368421,0.5263157894736842,0.8421052631578947,0.7,0.11405397954173928,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,0,100,1.6446602821350098,0.0353810909299354,0.011712074279785156,0.00326178675457701,0.1,8.0,,,"{'learning_rate': 0.1, 'max_depth': 8}",0.8,0.7,0.631578947368421,0.5263157894736842,0.8421052631578947,0.7,0.11405397954173928,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,0,100,1.5140114784240724,0.09527034027462991,0.010217761993408203,0.00018311730237312686,0.1,6.0,,,"{'learning_rate': 0.1, 'max_depth': 6}",0.8,0.7,0.631578947368421,0.5263157894736842,0.8421052631578947,0.7,0.11405397954173928,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,0,100,1.0166583061218262,0.05881134604747719,0.008039331436157227,0.0030757571948911624,0.1,6.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.8,0.7,0.631578947368421,0.5263157894736842,0.8421052631578947,0.7,0.11405397954173928,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,0,100,1.6641120433807373,0.03051537217661064,0.012057638168334961,0.003145166714617937,0.1,12.0,,,"{'learning_rate': 0.1, 'max_depth': 12}",0.8,0.7,0.631578947368421,0.5263157894736842,0.8421052631578947,0.7,0.11405397954173928,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,0,100,8.818245649337769,0.7606112585972588,0.05198912620544434,0.007512426894653884,0.01,6.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.8,0.7,0.631578947368421,0.5263157894736842,0.7894736842105263,0.6894736842105263,0.10227332885466207,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,0,100,9.534102630615234,0.536751908211194,0.05127625465393067,0.01014130786575862,0.01,10.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500}",0.8,0.7,0.631578947368421,0.5263157894736842,0.7894736842105263,0.6894736842105263,0.10227332885466207,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,0,100,9.680623960494994,0.43761059997016044,0.0463007926940918,0.0032078125363366864,0.01,12.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 500}",0.8,0.7,0.631578947368421,0.5263157894736842,0.7894736842105263,0.6894736842105263,0.10227332885466207,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0
32,0,100,1.3747042655944823,0.06824900951065706,0.010128068923950195,0.00011845794412134592,0.1,,,5.0,"{'learning_rate': 0.1, 'min_child_weight': 5}",0.7,0.65,0.5789473684210527,0.6842105263157895,0.7894736842105263,0.6805263157894738,0.06857472621011507,35,0.9746835443037974,0.9620253164556962,0.9375,0.9375,0.9375,0.9498417721518987,0.01563656237794993
34,0,100,1.9655946254730225,0.03939345523283493,0.012436676025390624,0.002944477565460764,0.01,,,2.0,"{'learning_rate': 0.01, 'min_child_weight': 2}",0.75,0.65,0.5263157894736842,0.5789473684210527,0.7894736842105263,0.6589473684210526,0.09939707437018355,36,0.9746835443037974,0.9873417721518988,0.95,0.9625,0.975,0.9699050632911392,0.012679728575332833
22,0,100,2.1187180519104003,0.060533151688811106,0.017297935485839844,0.0037117038037754353,0.01,6.0,,,"{'learning_rate': 0.01, 'max_depth': 6}",0.75,0.7,0.5263157894736842,0.42105263157894735,0.7368421052631579,0.6268421052631579,0.13044139852344985,37,1.0,0.9873417721518988,1.0,1.0,1.0,0.9974683544303797,0.005063291139240489
23,0,100,2.1615939140319824,0.019435226848297293,0.013303375244140625,0.004001424196557896,0.01,8.0,,,"{'learning_rate': 0.01, 'max_depth': 8}",0.75,0.7,0.5263157894736842,0.42105263157894735,0.7368421052631579,0.6268421052631579,0.13044139852344985,37,1.0,0.9873417721518988,1.0,1.0,1.0,0.9974683544303797,0.005063291139240489
24,0,100,2.172197771072388,0.047693576840579954,0.010525894165039063,0.0007677498711154611,0.01,10.0,,,"{'learning_rate': 0.01, 'max_depth': 10}",0.75,0.7,0.5263157894736842,0.42105263157894735,0.7368421052631579,0.6268421052631579,0.13044139852344985,37,1.0,0.9873417721518988,1.0,1.0,1.0,0.9974683544303797,0.005063291139240489
25,0,100,2.097886323928833,0.08825466734891364,0.013264656066894531,0.003227170702358574,0.01,12.0,,,"{'learning_rate': 0.01, 'max_depth': 12}",0.75,0.7,0.5263157894736842,0.42105263157894735,0.7368421052631579,0.6268421052631579,0.13044139852344985,37,1.0,0.9873417721518988,1.0,1.0,1.0,0.9974683544303797,0.005063291139240489
6,0,100,1.8723228454589844,0.21774587630865333,0.011401557922363281,0.005103261526505168,0.01,6.0,100.0,,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",0.75,0.7,0.5263157894736842,0.42105263157894735,0.7368421052631579,0.6268421052631579,0.13044139852344985,37,1.0,0.9873417721518988,1.0,1.0,1.0,0.9974683544303797,0.005063291139240489
8,0,100,1.984439754486084,0.03562521332494456,0.012064933776855469,0.00308986764608834,0.01,10.0,100.0,,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",0.75,0.7,0.5263157894736842,0.42105263157894735,0.7368421052631579,0.6268421052631579,0.13044139852344985,37,1.0,0.9873417721518988,1.0,1.0,1.0,0.9974683544303797,0.005063291139240489
