,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_degree,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
20,2,90,0.173779296875,0.004818479941253464,0.00441436767578125,0.003888178328711273,poly,3.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 10}",-0.06274735927581787,0.6329701542854309,-0.23764216899871826,-0.02560245990753174,0.39712923765182495,0.1408214807510376,0.32257585710815007,1,0.9845496416091919,0.991403341293335,0.9882621169090271,0.9905317425727844,0.9814034104347229,0.9872300505638123,0.00375544974494612
19,2,90,0.1720142364501953,0.0040023223464717705,0.0060346126556396484,0.0042218012155368695,poly,2.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'C': 10}",-0.06274735927581787,0.6329701542854309,-0.23764216899871826,-0.02560245990753174,0.39712923765182495,0.1408214807510376,0.32257585710815007,1,0.9845496416091919,0.991403341293335,0.9882621169090271,0.9905317425727844,0.9814034104347229,0.9872300505638123,0.00375544974494612
18,1,30,0.14726085662841798,0.003970646140630331,0.0076315879821777345,0.003896661457342059,poly,3.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 10}",-0.7761150598526001,0.0,0.0,0.6078345775604248,-0.0494992733001709,-0.04355595111846924,0.43926803513939816,3,0.9911410212516785,0.9907557964324951,0.9884169697761536,0.9936514496803284,0.9872986078262329,0.9902527689933777,0.002222173983204732
17,1,30,0.15244264602661134,6.271258902103355e-05,0.008823537826538086,0.0009943567545120497,poly,2.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'C': 10}",-0.7761150598526001,0.0,0.0,0.6078345775604248,-0.0494992733001709,-0.04355595111846924,0.43926803513939816,3,0.9911410212516785,0.9907557964324951,0.9884169697761536,0.9936514496803284,0.9872986078262329,0.9902527689933777,0.002222173983204732
16,1,30,0.1428863525390625,0.0039333752227080675,0.0072157859802246095,0.0027165631040099395,poly,3.0,1,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 1}",-0.7761150598526001,0.0,0.0,0.6078345775604248,-0.0494992733001709,-0.04355595111846924,0.43926803513939816,3,0.9911410212516785,0.9907557964324951,0.9884169697761536,0.9936514496803284,0.9872986078262329,0.9902527689933777,0.002222173983204732
15,1,30,0.15249781608581542,0.004191251548209125,0.0060138702392578125,0.0033494766171692407,poly,2.0,1,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'C': 1}",-0.7761150598526001,0.0,0.0,0.6078345775604248,-0.0494992733001709,-0.04355595111846924,0.43926803513939816,3,0.9911410212516785,0.9907557964324951,0.9884169697761536,0.9936514496803284,0.9872986078262329,0.9902527689933777,0.002222173983204732
14,1,30,0.15295748710632323,0.003986723484450488,0.009627389907836913,0.0008051727924591825,rbf,,10,0.001,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 10}",-0.7514761686325073,0.0,0.0,0.6015551090240479,-0.07658445835113525,-0.04530110359191895,0.42946227087911565,7,0.9985516667366028,0.9988182783126831,0.9983541965484619,0.999049961566925,0.9989176392555237,0.9987383484840393,0.00025221397903599913
13,0,10,0.13074512481689454,0.005123146277522495,0.004413032531738281,0.004642111284392303,poly,3.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 10}",0.0,,,,,,,8,0.9844347238540649,0.9951040148735046,0.9951040148735046,0.9958669543266296,0.9912905693054199,0.9923600554466248,0.004273444696858995
12,0,10,0.11023001670837403,0.005740171682595834,0.008255290985107421,0.007042961693875659,poly,2.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'C': 10}",0.0,,,,,,,8,0.9844347238540649,0.9951040148735046,0.9951040148735046,0.9958669543266296,0.9912905693054199,0.9923600554466248,0.004273444696858995
11,0,10,0.10648159980773926,0.007652845062815873,0.0,0.0,poly,3.0,1,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 1}",0.0,,,,,,,8,0.9844347238540649,0.9951040148735046,0.9951040148735046,0.9958669543266296,0.9912905693054199,0.9923600554466248,0.004273444696858995
0,0,10,0.13209471702575684,0.04326501469986302,0.006858539581298828,0.005145842972282557,linear,3.0,1,,"{'kernel': 'linear', 'degree': 3, 'C': 1}",0.0,,,,,,,8,0.9999983906745911,0.9999993443489075,0.9999993443489075,0.9999996423721313,0.9999990463256836,0.9999991536140442,4.254953455346763e-07
