,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_degree,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
20,2,90,0.25511856079101564,0.022958079501275905,0.006996011734008789,0.0037455312241217002,poly,3.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 10}",0.08518987518823207,0.4203478623402027,0.654292337150702,-0.21146806502078697,0.7613905574252068,0.3419505134167113,0.36106278068857584,1,0.999999350490636,0.9999992287889724,0.9999989888440353,0.9999994173842608,0.9999986081562534,0.9999991187328316,2.941347486496657e-07
19,2,90,0.23336949348449706,0.003949237953284062,0.007622861862182617,0.0029467102844591467,poly,2.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'C': 10}",0.08518987518823207,0.4203478623402027,0.654292337150702,-0.21146806502078697,0.7613905574252068,0.3419505134167113,0.36106278068857584,1,0.999999350490636,0.9999992287889724,0.9999989888440353,0.9999994173842608,0.9999986081562534,0.9999991187328316,2.941347486496657e-07
18,1,30,0.2265320301055908,0.014244069676537529,0.007824420928955078,0.001479302652875408,poly,3.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 10}",0.28056961514625056,0.5005843887587267,0.03321167918735901,0.6769080438798039,-0.08103001920667685,0.2820487415530927,0.2819290533698533,3,0.9999992335052512,0.9999996889276139,0.9999996745174774,0.9999994704892766,0.9999991203680941,0.9999994375615427,2.292020533609802e-07
17,1,30,0.21857719421386718,0.0167363415187114,0.00910496711730957,0.0014312259876465988,poly,2.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'C': 10}",0.28056961514625056,0.5005843887587267,0.03321167918735901,0.6769080438798039,-0.08103001920667685,0.2820487415530927,0.2819290533698533,3,0.9999992335052512,0.9999996889276139,0.9999996745174774,0.9999994704892766,0.9999991203680941,0.9999994375615427,2.292020533609802e-07
16,1,30,0.24199471473693848,0.03181983427613735,0.010367870330810547,0.0006972694562627163,poly,3.0,1,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 1}",0.28056961514625056,0.5005843887587267,0.03321167918735901,0.6769080438798039,-0.08103001920667685,0.2820487415530927,0.2819290533698533,3,0.9999992335052512,0.9999996889276139,0.9999996745174774,0.9999994704892766,0.9999991203680941,0.9999994375615427,2.292020533609802e-07
15,1,30,0.2170414447784424,0.008256846464225191,0.008030986785888672,0.003110611724899736,poly,2.0,1,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'C': 1}",0.28056961514625056,0.5005843887587267,0.03321167918735901,0.6769080438798039,-0.08103001920667685,0.2820487415530927,0.2819290533698533,3,0.9999992335052512,0.9999996889276139,0.9999996745174774,0.9999994704892766,0.9999991203680941,0.9999994375615427,2.292020533609802e-07
14,1,30,0.22852964401245118,0.017135268952665324,0.010039997100830079,1.2566626935750994e-05,rbf,,10,0.001,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 10}",0.28464768646461736,0.5003145132181418,0.027124740971577466,0.6759647891487113,-0.07825093049378884,0.2819601598618518,0.28199950874586316,7,0.9999999354218887,0.9999999679172543,0.9999999588080826,0.9999999486934573,0.9999998997066669,0.99999994210947,2.3794771421689727e-08
13,0,10,0.1961611270904541,0.004809805165518226,0.006926679611206054,0.002465632778496744,poly,3.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 10}",-1.4472673149650337,-3.9914647429954417,,,,,,8,0.9999996547061918,0.9999998000288705,0.9999970892218375,0.999999641508637,0.9999995213112012,0.9999991413553475,1.0298690796161678e-06
12,0,10,0.18834242820739747,0.011960078347058646,0.004982614517211914,0.003375460587871512,poly,2.0,10,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'C': 10}",-1.4472673149650337,-3.9914647429954417,,,,,,8,0.9999996547061918,0.9999998000288705,0.9999970892218375,0.999999641508637,0.9999995213112012,0.9999991413553475,1.0298690796161678e-06
11,0,10,0.19824161529541015,0.015582471348709468,0.007526111602783203,0.0006634864343421073,poly,3.0,1,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 1}",-1.4472673149650337,-3.9914647429954417,,,,,,8,0.9999996547061918,0.9999998000288705,0.9999970892218375,0.999999641508637,0.9999995213112012,0.9999991413553475,1.0298690796161678e-06
