,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_child_weight,param_learning_rate,param_n_estimators,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
12,2,450,0.08364934921264648,0.007884022270708141,0.0,0.0,,0.1,100.0,12.0,"{'n_estimators': 100, 'max_depth': 12, 'learning_rate': 0.1}",0.9555555555555556,0.9666666666666667,0.9777777777777777,0.9555555555555556,0.9444444444444444,0.96,0.011331154474650622,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0,50,0.016039943695068358,0.002079905951222109,0.00019931793212890625,0.0003986358642578125,,0.1,,6.0,"{'max_depth': 6, 'learning_rate': 0.1}",1.0,0.9,0.9,0.9,1.0,0.9399999999999998,0.04898979485566355,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0,50,0.011298942565917968,0.002116002428500881,0.0018764019012451171,0.002525144405288296,,0.1,100.0,12.0,"{'n_estimators': 100, 'max_depth': 12, 'learning_rate': 0.1}",1.0,0.9,0.9,0.9,1.0,0.9399999999999998,0.04898979485566355,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,1,150,0.041809797286987305,0.005519625959444787,0.001401662826538086,0.00079502148635316,,0.1,,6.0,"{'max_depth': 6, 'learning_rate': 0.1}",0.9666666666666667,0.9,0.9333333333333333,0.8666666666666667,1.0,0.9333333333333332,0.04714045207910316,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,1,150,0.02945432662963867,0.008911887980536845,0.00039873123168945315,0.0007974624633789062,,0.1,100.0,12.0,"{'n_estimators': 100, 'max_depth': 12, 'learning_rate': 0.1}",0.9666666666666667,0.9,0.9333333333333333,0.8666666666666667,1.0,0.9333333333333332,0.04714045207910316,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,1,150,0.05165243148803711,0.0,0.0,0.0,2.0,0.01,,,"{'min_child_weight': 2, 'learning_rate': 0.01}",0.9,0.9,0.9333333333333333,0.8333333333333334,1.0,0.9133333333333333,0.05416025603090639,6,0.975,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.975,0.9799999999999999,0.004082482904638616
0,0,50,0.829611349105835,0.12491203664651801,0.0025824546813964845,0.0025521533770637766,2.0,0.1,,,"{'min_child_weight': 2, 'learning_rate': 0.1}",1.0,0.9,0.9,0.8,0.9,0.9,0.06324555320336757,7,0.975,0.95,1.0,1.0,0.975,0.9799999999999999,0.018708286933869726
1,0,50,0.9074396610260009,0.05233077940705917,0.001708650588989258,0.001667926797407975,2.0,0.01,,,"{'min_child_weight': 2, 'learning_rate': 0.01}",1.0,0.9,0.9,0.8,0.9,0.9,0.06324555320336757,7,0.95,0.95,0.95,0.975,0.975,0.96,0.012247448713915901
2,0,50,0.3922418117523193,0.4641671765274437,0.0003990650177001953,0.0007981300354003906,,0.01,100.0,12.0,"{'n_estimators': 100, 'max_depth': 12, 'learning_rate': 0.01}",0.9,0.9,0.9,0.8,0.9,0.8800000000000001,0.039999999999999994,9,1.0,0.95,0.95,0.975,0.975,0.97,0.018708286933869726
5,0,50,0.01983189582824707,0.005128610316435976,0.001880645751953125,0.0028608522721879502,,0.01,100.0,6.0,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.01}",0.9,0.9,0.9,0.8,0.9,0.8800000000000001,0.039999999999999994,9,1.0,0.95,0.95,0.975,0.975,0.97,0.018708286933869726
6,0,50,0.11528453826904297,0.011713512855269228,0.0026940345764160157,0.002533781954022025,,0.001,500.0,12.0,"{'n_estimators': 500, 'max_depth': 12, 'learning_rate': 0.001}",0.9,0.9,0.9,0.8,0.5,0.8,0.15491933384829668,11,0.95,0.95,0.975,0.975,0.75,0.9199999999999999,0.08573214099741122
7,0,50,0.013758659362792969,0.0021795389229852637,0.0006041526794433594,0.0008078997246003541,10.0,0.1,,,"{'min_child_weight': 10, 'learning_rate': 0.1}",0.5,0.5,0.5,0.7,0.5,0.54,0.07999999999999999,12,0.575,0.55,0.575,0.6,0.75,0.61,0.07176350047203663
8,0,50,0.022041940689086915,0.0033090146686118693,0.003354310989379883,0.0038687176470045773,,0.001,100.0,10.0,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.001}",0.5,0.5,0.5,0.7,0.5,0.54,0.07999999999999999,12,0.575,0.55,0.575,0.6,0.75,0.61,0.07176350047203663
