iter	Passed	Remaining
0	27	24595
1	38	17257
2	48	14624
3	59	13308
4	70	12571
5	81	12089
6	91	11728
7	102	11434
8	113	11217
9	123	10985
10	134	10866
11	145	10793
12	157	10754
13	168	10663
14	178	10543
15	189	10460
16	200	10425
17	211	10386
18	222	10329
19	233	10264
20	243	10209
21	254	10163
22	265	10116
23	275	10063
24	286	10039
25	297	10007
26	308	9980
27	319	9940
28	329	9891
29	340	9875
30	351	9843
31	361	9806
32	371	9772
33	382	9752
34	393	9726
35	403	9689
36	413	9655
37	424	9630
38	435	9609
39	445	9586
40	456	9563
41	466	9535
42	477	9516
43	487	9489
44	497	9461
45	508	9435
46	518	9410
47	529	9392
48	539	9365
49	549	9336
50	559	9310
51	569	9290
52	580	9281
53	591	9270
54	602	9253
55	613	9242
56	623	9223
57	634	9212
58	644	9191
59	655	9180
60	665	9158
61	676	9146
62	687	9129
63	697	9112
64	708	9101
65	719	9090
66	729	9074
67	739	9052
68	750	9035
69	760	9022
70	771	9013
71	782	8997
72	793	8984
73	803	8968
74	814	8958
75	825	8945
76	835	8933
77	846	8916
78	856	8899
79	867	8888
80	877	8873
81	887	8857
82	898	8845
83	909	8833
84	919	8816
85	930	8809
86	940	8793
87	951	8775
88	962	8766
89	972	8751
90	983	8740
91	994	8731
92	1005	8721
93	1015	8708
94	1025	8693
95	1036	8681
96	1046	8666
97	1058	8660
98	1069	8650
99	1079	8637
100	1090	8623
101	1101	8614
102	1111	8600
103	1122	8591
104	1133	8583
105	1144	8574
106	1155	8562
107	1166	8553
108	1177	8543
109	1188	8532
110	1199	8524
111	1209	8512
112	1220	8499
113	1230	8483
114	1241	8471
115	1251	8460
116	1262	8448
117	1273	8438
118	1283	8425
119	1294	8415
120	1304	8400
121	1315	8390
122	1326	8379
123	1337	8369
124	1348	8358
125	1359	8352
126	1370	8341
127	1380	8328
128	1391	8316
129	1402	8305
130	1413	8295
131	1423	8281
132	1434	8270
133	1445	8260
134	1455	8247
135	1465	8234
136	1476	8225
137	1487	8214
138	1498	8204
139	1509	8193
140	1519	8179
141	1530	8167
142	1540	8154
143	1551	8145
144	1562	8135
145	1572	8123
146	1584	8116
147	1594	8102
148	1605	8090
149	1615	8077
150	1625	8065
151	1636	8055
152	1647	8043
153	1657	8031
154	1668	8021
155	1679	8011
156	1690	8002
157	1701	7991
158	1712	7981
159	1723	7970
160	1734	7960
161	1745	7950
162	1756	7941
163	1767	7933
164	1778	7922
165	1789	7910
166	1800	7901
167	1811	7894
168	1822	7881
169	1832	7869
170	1843	7857
171	1854	7847
172	1865	7840
173	1876	7830
174	1887	7819
175	1897	7806
176	1908	7794
177	1918	7782
178	1929	7770
179	1939	7758
180	1950	7747
181	1960	7734
182	1971	7722
183	1981	7709
184	1991	7697
185	2002	7685
186	2012	7673
187	2023	7664
188	2034	7654
189	2045	7643
190	2056	7633
191	2066	7621
192	2077	7610
193	2088	7599
194	2099	7588
195	2109	7578
196	2120	7568
197	2131	7556
198	2142	7546
199	2153	7536
200	2164	7526
201	2174	7515
202	2185	7504
203	2196	7493
204	2207	7482
205	2217	7470
206	2227	7456
207	2238	7447
208	2249	7437
209	2260	7426
210	2270	7415
211	2281	7405
212	2293	7396
213	2303	7383
214	2314	7372
215	2324	7362
216	2335	7351
217	2347	7343
218	2358	7333
219	2368	7321
220	2379	7309
221	2390	7299
222	2400	7287
223	2410	7275
224	2421	7263
225	2432	7255
226	2442	7242
227	2453	7232
228	2464	7222
229	2475	7211
230	2487	7202
231	2497	7191
232	2508	7179
233	2518	7169
234	2529	7159
235	2540	7148
236	2551	7137
237	2562	7128
238	2573	7117
239	2584	7106
240	2594	7095
241	2605	7083
242	2616	7073
243	2627	7065
244	2638	7054
245	2649	7044
246	2660	7033
247	2671	7022
248	2682	7012
249	2693	7002
250	2704	6991
251	2715	6982
252	2726	6971
253	2737	6961
254	2748	6951
255	2759	6940
256	2769	6930
257	2780	6919
258	2791	6907
259	2801	6896
260	2812	6884
261	2822	6874
262	2833	6863
263	2844	6853
264	2855	6843
265	2866	6831
266	2877	6821
267	2887	6810
268	2899	6801
269	2910	6792
270	2921	6780
271	2932	6770
272	2943	6760
273	2954	6749
274	2965	6738
275	2975	6727
276	2986	6716
277	2996	6705
278	3008	6696
279	3019	6685
280	3030	6675
281	3041	6664
282	3052	6654
283	3062	6643
284	3073	6632
285	3084	6622
286	3094	6610
287	3106	6601
288	3117	6590
289	3128	6581
290	3140	6572
291	3151	6561
292	3161	6549
293	3171	6537
294	3182	6526
295	3193	6516
296	3203	6504
297	3214	6494
298	3225	6484
299	3236	6473
300	3247	6462
301	3257	6451
302	3269	6441
303	3279	6430
304	3290	6419
305	3301	6409
306	3312	6397
307	3322	6386
308	3334	6376
309	3344	6365
310	3355	6354
311	3366	6344
312	3377	6334
313	3388	6323
314	3398	6311
315	3409	6300
316	3420	6289
317	3430	6278
318	3441	6268
319	3452	6257
320	3463	6246
321	3474	6236
322	3485	6225
323	3495	6214
324	3506	6203
325	3517	6193
326	3528	6182
327	3539	6172
328	3550	6161
329	3561	6151
330	3572	6141
331	3583	6130
332	3594	6120
333	3605	6109
334	3617	6101
335	3628	6090
336	3639	6080
337	3650	6069
338	3660	6057
339	3670	6046
340	3682	6036
341	3693	6025
342	3704	6015
343	3715	6005
344	3726	5994
345	3737	5983
346	3747	5972
347	3758	5961
348	3768	5950
349	3779	5938
350	3790	5928
351	3800	5916
352	3811	5905
353	3822	5895
354	3833	5884
355	3843	5873
356	3854	5863
357	3865	5852
358	3876	5841
359	3887	5830
360	3897	5819
361	3908	5808
362	3919	5797
363	3929	5786
364	3940	5776
365	3951	5765
366	3963	5755
367	3972	5743
368	3983	5732
369	3994	5721
370	4005	5710
371	4015	5699
372	4026	5689
373	4038	5679
374	4048	5668
375	4059	5657
376	4070	5647
377	4081	5636
378	4093	5627
379	4104	5616
380	4115	5606
381	4126	5595
382	4137	5584
383	4148	5574
384	4159	5563
385	4169	5552
386	4180	5541
387	4191	5531
388	4202	5520
389	4213	5510
390	4224	5498
391	4234	5487
392	4244	5476
393	4255	5464
394	4266	5454
395	4276	5443
396	4287	5431
397	4297	5420
398	4308	5410
399	4319	5398
400	4329	5387
401	4340	5376
402	4350	5365
403	4361	5354
404	4372	5343
405	4383	5333
406	4394	5322
407	4404	5311
408	4415	5301
409	4426	5290
410	4437	5279
411	4447	5268
412	4458	5257
413	4469	5246
414	4480	5236
415	4491	5225
416	4501	5214
417	4512	5203
418	4523	5193
419	4535	5182
420	4545	5171
421	4556	5161
422	4567	5150
423	4578	5140
424	4589	5129
