num_date_time,건물번호,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),전력소비량(kWh)
1_20240601 00,1,20240601 00,18.3,0.0,2.6,82.0,0.0,0.0,5794.8
1_20240601 01,1,20240601 01,18.3,0.0,2.7,82.0,0.0,0.0,5591.85
1_20240601 02,1,20240601 02,18.1,0.0,2.6,80.0,0.0,0.0,5338.17
1_20240601 03,1,20240601 03,18.0,0.0,2.6,81.0,0.0,0.0,4554.42
1_20240601 04,1,20240601 04,17.8,0.0,1.3,81.0,0.0,0.0,3602.25
1_20240601 05,1,20240601 05,17.7,0.0,2.2,83.0,0.0,0.0,3367.59
1_20240601 06,1,20240601 06,17.6,0.0,1.7,85.0,0.0,0.02,3089.4
1_20240601 07,1,20240601 07,17.7,0.0,1.2,81.0,0.0,0.22,3977.67
1_20240601 08,1,20240601 08,18.2,0.0,1.8,78.0,0.0,0.56,4380.45
1_20240601 09,1,20240601 09,19.4,0.0,2.4,70.0,0.4,1.27,4359.78
1_20240601 10,1,20240601 10,20.5,0.0,2.7,65.0,0.7,2.36,4494.72
1_20240601 11,1,20240601 11,21.7,0.0,3.4,60.0,0.8,3.02,4566.75
1_20240601 12,1,20240601 12,22.7,0.0,3.1,53.0,0.9,3.4,4591.29
1_20240601 13,1,20240601 13,23.1,0.0,3.5,48.0,0.8,3.29,4596.6
1_20240601 14,1,20240601 14,24.2,0.0,3.5,40.0,0.9,3.37,4706.88
1_20240601 15,1,20240601 15,24.8,0.0,3.9,36.0,0.9,3.01,4670.1
1_20240601 16,1,20240601 16,24.8,0.0,3.9,42.0,0.7,2.18,4659.69
1_20240601 17,1,20240601 17,24.5,0.0,3.9,45.0,1.0,2.16,5358.84
1_20240601 18,1,20240601 18,23.8,0.0,2.6,45.0,1.0,1.44,5985.18
1_20240601 19,1,20240601 19,22.3,0.0,3.1,53.0,1.0,0.64,6292.32
1_20240601 20,1,20240601 20,20.8,0.0,2.3,59.0,0.3,0.08,5279.67
1_20240601 21,1,20240601 21,20.3,0.0,3.0,62.0,0.0,0.0,3260.28
1_20240601 22,1,20240601 22,19.8,0.0,3.5,55.0,0.0,0.0,3034.92
1_20240601 23,1,20240601 23,19.3,0.0,2.5,55.0,0.0,0.0,3601.32
1_20240602 00,1,20240602 00,18.7,0.0,2.9,58.0,0.0,0.0,3870.42
1_20240602 01,1,20240602 01,18.2,0.0,3.5,60.0,0.0,0.0,5733.45
1_20240602 02,1,20240602 02,17.6,0.0,2.5,61.0,0.0,0.0,5689.17
1_20240602 03,1,20240602 03,16.9,0.0,2.5,64.0,0.0,0.0,5579.04
1_20240602 04,1,20240602 04,16.1,0.0,1.6,66.0,0.0,0.0,4113.6
1_20240602 05,1,20240602 05,15.8,0.0,1.9,69.0,0.0,0.0,3724.44
1_20240602 06,1,20240602 06,15.7,0.0,1.7,70.0,0.1,0.05,4505.67
1_20240602 07,1,20240602 07,16.7,0.0,1.8,68.0,1.0,0.6,5598.09
1_20240602 08,1,20240602 08,18.3,0.0,1.9,61.0,1.0,1.33,4359.18
1_20240602 09,1,20240602 09,20.3,0.0,1.8,52.0,1.0,2.05,4691.61
1_20240602 10,1,20240602 10,21.6,0.0,4.3,43.0,1.0,2.68,4980.3
1_20240602 11,1,20240602 11,23.1,0.0,2.3,42.0,1.0,3.25,5026.56
1_20240602 12,1,20240602 12,23.8,0.0,3.4,40.0,1.0,3.61,5022.69
1_20240602 13,1,20240602 13,25.0,0.0,4.4,38.0,1.0,3.72,5021.79
1_20240602 14,1,20240602 14,25.1,0.0,3.8,38.0,0.8,3.16,4975.92
1_20240602 15,1,20240602 15,24.5,0.0,3.8,40.0,0.4,1.84,4940.73
